"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0006915"	1.49724109763358e-30	4.32970056591481	35.5052043665905	114	415	"apoptotic process"
"2"	"GO:0012501"	3.04377955885663e-30	4.28606158833063	35.7618684945418	114	418	"programmed cell death"
"3"	"GO:0008219"	7.1964891008723e-25	3.18908036941082	52.7017009393247	134	616	"cell death"
"4"	"GO:0009767"	5.70469316595461e-06	10.7535474234503	1.53998476770754	9	18	"photosynthetic electron transport chain"
"5"	"GO:0006412"	3.12718725899108e-05	1.64316668760206	59.8027418126428	91	699	"translation"
"6"	"GO:0022900"	3.76683607534803e-05	3.83396730063397	5.21883726834222	16	61	"electron transport chain"
"7"	"GO:0043043"	4.09761434901003e-05	1.62917352872852	60.2305153592282	91	704	"peptide biosynthetic process"
"8"	"GO:0006518"	4.19537893369089e-05	1.62347676490466	61.0860624523991	92	714	"peptide metabolic process"
"9"	"GO:0009987"	4.7908603679266e-05	1.27189642242944	877.876872302615	943	10261	"cellular process"
"10"	"GO:0043603"	5.22078977196481e-05	1.59962103222205	63.9093678598629	95	747	"cellular amide metabolic process"
"11"	"GO:0043604"	5.5674383545418e-05	1.60464556866872	62.3693830921554	93	729	"amide biosynthetic process"
"12"	"GO:1901566"	0.000562967504312536	1.39649313731627	98.6445798425996	130	1153	"organonitrogen compound biosynthetic process"
