"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0022900"	9.51633113286855e-13	31.4579816513761	0.464584920030465	11	61	"electron transport chain"
"2"	"GO:0009767"	3.69818322831848e-11	87.9927594529364	0.137090632140137	7	18	"photosynthetic electron transport chain"
"3"	"GO:0019684"	4.44965097845383e-08	25.4275733581742	0.342726580350343	7	45	"photosynthesis, light reaction"
"4"	"GO:0006091"	7.79515649185415e-08	6.44627054361568	2.6961157654227	15	354	"generation of precursor metabolites and energy"
"5"	"GO:0015977"	1.35539614042993e-07	56.6086956521739	0.129474485910129	5	17	"carbon fixation"
"6"	"GO:0015979"	1.47171697132754e-07	7.24168658987177	2.06397562833206	13	271	"photosynthesis"
"7"	"GO:0009772"	4.30878668452268e-07	Inf	0.0228484386900229	3	3	"photosynthetic electron transport in photosystem II"
"8"	"GO:0005985"	0.00014750760488881	36.4219114219114	0.106626047220107	3	14	"sucrose metabolic process"
"9"	"GO:0044262"	0.000224893086881307	5.37665505226481	1.62223914699162	8	213	"cellular carbohydrate metabolic process"
"10"	"GO:0022904"	0.000236601318777924	14.9425287356322	0.304645849200305	4	40	"respiratory electron transport chain"
"11"	"GO:0045333"	0.000520345476291208	11.9471264367816	0.373191165270373	4	49	"cellular respiration"
"12"	"GO:0015980"	0.000653298951654016	11.198275862069	0.396039603960396	4	52	"energy derivation by oxidation of organic compounds"
"13"	"GO:0034637"	0.000678345229621288	6.13494261970716	1.05864432597106	6	139	"cellular carbohydrate biosynthetic process"
"14"	"GO:0006119"	0.000876789885512421	18.1981351981352	0.19040365575019	3	25	"oxidative phosphorylation"
"15"	"GO:0042773"	0.000876789885512421	18.1981351981352	0.19040365575019	3	25	"ATP synthesis coupled electron transport"
