"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0009767"	1.87223644635e-06	14.1529691211401	0.971058644325971	8	18	"photosynthetic electron transport chain"
"2"	"GO:0022900"	3.33391420668605e-06	5.29436017509926	3.29080985021579	14	61	"electron transport chain"
"3"	"GO:0044281"	1.33043457634495e-05	1.79714758601261	43.2660573749683	72	802	"small molecule metabolic process"
"4"	"GO:0006915"	3.09546531750328e-05	2.08179104875351	22.3882965219599	43	415	"apoptotic process"
"5"	"GO:0012501"	3.67344489188686e-05	2.06471045022718	22.5501396293476	43	418	"programmed cell death"
"6"	"GO:0006091"	4.13123150484391e-05	2.16070649123901	19.0974866717441	38	354	"generation of precursor metabolites and energy"
"7"	"GO:0008219"	8.81098644642782e-05	1.80680100755668	33.2317847169332	56	616	"cell death"
"8"	"GO:0009117"	9.64398488264138e-05	2.41228432563791	12.2461284589997	27	227	"nucleotide metabolic process"
"9"	"GO:0006753"	0.000139321513099342	2.35264795661322	12.5158669713125	27	232	"nucleoside phosphate metabolic process"
"10"	"GO:0009199"	0.000205808634203176	2.77066934958868	7.60662604722011	19	141	"ribonucleoside triphosphate metabolic process"
"11"	"GO:0009144"	0.000205808634203176	2.77066934958868	7.60662604722011	19	141	"purine nucleoside triphosphate metabolic process"
"12"	"GO:0009205"	0.000205808634203176	2.77066934958868	7.60662604722011	19	141	"purine ribonucleoside triphosphate metabolic process"
"13"	"GO:0055086"	0.000206402737222984	2.21476831464651	14.1882457476517	29	263	"nucleobase-containing small molecule metabolic process"
"14"	"GO:0009141"	0.000225860155997287	2.74795769618346	7.66057374968266	19	142	"nucleoside triphosphate metabolic process"
"15"	"GO:0009150"	0.000282606195385809	2.54333965190419	9.06321401370906	21	168	"purine ribonucleotide metabolic process"
"16"	"GO:0019748"	0.000302542467710487	1.88633006877753	23.2514597613608	41	431	"secondary metabolic process"
"17"	"GO:0046034"	0.0003115263700956	2.75841346153846	7.22899212998223	18	134	"ATP metabolic process"
"18"	"GO:0009259"	0.000332599155183022	2.50886084147635	9.17110941863417	21	170	"ribonucleotide metabolic process"
"19"	"GO:0019693"	0.000349173176995219	2.38239925761368	10.519801980198	23	195	"ribose phosphate metabolic process"
"20"	"GO:0017144"	0.000382855136667634	2.22967233009709	12.6237623762376	26	234	"drug metabolic process"
"21"	"GO:0006163"	0.000456234516680995	2.44260744104638	9.38690022848439	21	174	"purine nucleotide metabolic process"
"22"	"GO:0072521"	0.00077019919712924	2.33463510253317	9.76453414572226	21	181	"purine-containing compound metabolic process"
"23"	"GO:0009628"	0.000793290981042835	1.36719736523366	111.348057882711	143	2064	"response to abiotic stimulus"
"24"	"GO:0009167"	0.000813384491439242	2.51762189582071	7.82241685707032	18	145	"purine ribonucleoside monophosphate metabolic process"
"25"	"GO:0009126"	0.000813384491439242	2.51762189582071	7.82241685707032	18	145	"purine nucleoside monophosphate metabolic process"
"26"	"GO:0009161"	0.000955893151039887	2.47825357781753	7.93031226199543	18	147	"ribonucleoside monophosphate metabolic process"
