	Bd21.10	Bd21.14	Bd21.18	Bd21.22	Bd21.2	Bd21.6	col.10	col.14	col.18	col.22	col.2	col.6	sta.10	sta.14	sta.18	sta.22	sta.2	sta.6	Bh.10	Bh.14	Bh.18	Bh.22	Bh.2	Bh.6
Bradi1g00219.v3.1	0.393977009	1.284378209	0.714729943	2.199085005	1.944307904	0.912325606	0.457088208	0.318457846	0.260668296	0.326273481	0.256126511	1.471381643	-1.038609385	-1.006965435	-0.935384342	-0.976104888	-0.911947176	-1.038609385	-0.7853245	-0.815887026	-0.754123526	-0.742403979	-0.530504266	-1.002935753
Bradi1g00234.v3.1	-0.971836067	-0.993206517	-0.822910609	-0.86935942	-0.964557901	-0.748799855	-0.91508662	-0.850284612	-0.881941438	-0.888625341	-0.877037266	-0.955958442	0.700054914	1.972711341	1.665566673	0.962625139	1.726035754	1.232444049	0.308313226	0.465391691	0.268642066	0.627090957	0.974529378	-0.163801102
Bradi1g00247.v3.1	0.259597923	0.767039247	0.997195185	0.358496959	1.195722099	-0.081336632	0.31006295	2.058179967	1.236405185	0.479852513	2.302855496	0.480075271	-0.657570251	-0.683303746	-0.721587289	-0.858066132	-0.721813716	-0.836387184	-0.941709526	-0.911041651	-1.016912838	-0.981928155	-1.016912838	-1.016912838
Bradi1g00284.v3.1	-0.329948005	-0.47599425	-0.347143641	-0.355628553	-0.153724183	-0.238857236	-0.400078619	-0.234547255	-0.275045594	-0.425428137	-0.449324754	-0.366366094	1.629316445	1.691231651	1.736947475	1.651699553	1.744745805	1.533681321	-0.97413453	-0.997061212	-0.980768413	-1.012914563	-0.9859099	-0.984747311
Bradi1g00341.v3.1	0.446512604	0.929417522	0.624402468	1.816098553	1.474101123	0.626190326	1.525158973	0.589613492	0.15407242	1.449419747	0.442024642	1.112486787	-0.948687177	-0.920315878	-0.805995705	-0.948687177	-0.948687177	-0.948687177	-0.948687177	-0.948687177	-0.948687177	-0.948687177	-0.925002477	-0.948687177
Bradi1g00364.v3.1	1.059305546	0.62084696	-0.141941876	1.695175657	1.806302929	0.491868762	0.893968497	1.509036407	0.585442198	0.905585129	0.308911174	1.271470539	-0.84412171	-0.846101286	-0.960644305	-0.960644305	-0.782291295	-0.848303191	-0.960644305	-0.960644305	-0.960644305	-0.960644305	-0.960644305	-0.960644305
Bradi1g00370.v3.1	-0.058249548	0.184692193	0.461115837	1.411984956	0.871381093	1.66515337	0.190604858	1.795820482	0.247288093	0.512510792	-0.29867521	0.666558229	-0.285661382	-0.297143115	0.102388635	0.693284757	0.380591591	0.576641311	-1.462857487	-1.44944358	-1.481048411	-1.464840642	-1.481048411	-1.481048411
Bradi1g00410.v3.1	0.810827632	1.128598205	0.735870589	0.40197598	1.571835063	1.919075477	1.333143034	1.692567968	0.680055451	0.397296583	0.258596327	-0.213601362	-1.003028676	-0.83964056	-0.711573329	-0.98643061	-0.639321793	-0.715404415	-1.120018846	-0.799864071	-0.952939628	-0.860037781	-1.091671565	-0.996309671
Bradi1g00417.v3.1	1.057632422	1.180763145	0.618017746	1.176151304	0.88384609	0.760271818	1.064709818	0.982099554	1.040351832	1.10572764	0.959375626	1.092542181	-1.003308664	-1.007212721	-1.003988091	-0.988579869	-0.987393614	-0.961066338	-0.985130888	-0.987535635	-1.00862172	-0.987490809	-0.992685328	-1.008475497
Bradi1g00427.v3.1	1.291402662	1.309409572	0.807306509	1.355047882	1.698729261	1.409652449	0.284309209	0.496563281	0.74211929	0.819146255	0.356665399	0.823116771	-0.979763976	-0.783659495	-0.907939481	-0.915870213	-0.870472248	-0.821154105	-1.01285013	-1.017116327	-1.059596322	-1.015622077	-1.01852998	-0.990894183
Bradi1g00450.v3.1	0.043233156	0.218184775	0.441919517	0.344561409	1.893799154	-0.077159501	-0.75460801	-0.271846194	-0.541505415	-0.220438988	0.273474042	-0.430728546	-0.185995442	0.888173862	0.884322566	0.828083862	2.770138318	0.747761641	-1.14663491	-1.149997221	-1.185109987	-1.299440325	-0.587060995	-1.483126767
Bradi1g00497.v3.1	-0.421238479	-0.488363767	0.705742949	0.40853143	2.536340688	-0.262614789	-0.867868394	-1.880791785	-0.020625645	0.896591202	0.993356764	0.959120233	-1.235624472	0.035924583	0.11249811	-0.162621552	1.288190649	-0.586293824	-0.44669639	-0.643004516	0.879583492	-0.761833318	0.772965211	-1.811268379
Bradi1g00530.v3.1	-0.062499054	0.198929145	0.317428673	0.382490248	1.702993962	-0.300807543	0.283885636	0.655500916	1.650819769	1.761483007	1.846422417	-0.053219628	-0.280574271	-1.135042685	-0.338177454	0.750579517	-0.473949928	-0.360359186	-1.772249752	-1.402403655	-0.290903652	-0.841560591	-1.404505762	-0.83428013
Bradi1g00540.v3.1	-0.770747169	-0.265440501	-0.82337051	-1.017086785	-1.357206836	0.038015759	-0.78360258	0.664758089	0.497083823	-0.715778508	-0.106520745	1.050754877	1.171037218	1.309292277	1.419011444	0.704327371	1.436888422	1.361007054	0.023582856	0.794104955	-2.107205353	-0.811048756	-0.589378916	-1.122477486
Bradi1g00552.v3.1	-0.551489585	-0.399270526	-0.473614186	-0.475569557	0.032547038	0.085036562	-0.527349455	-0.112152933	-0.177630806	-0.382965938	0.141509926	0.592576482	1.863349944	0.808461422	0.439726152	1.191850652	1.902678331	2.45432058	-1.085885177	-1.085885177	-1.085885177	-1.045808368	-1.058769304	-1.049780902
Bradi1g00560.v3.1	0.415502416	0.199952575	0.42415769	-0.115624697	1.690737771	0.081630908	-0.822035115	-1.19302043	-0.541619151	-0.18823337	0.725631358	-1.660666984	-1.37344452	-1.177591107	-1.275006328	-0.643845773	0.291549249	-1.245971779	0.949836214	0.991032678	1.195501861	0.856486757	1.950025291	0.465014486
Bradi1g00600.v3.1	1.476022004	-0.339791241	-0.328542984	0.538506395	-0.399750694	0.151373764	-0.307329439	-0.394135075	-0.225454714	1.046055815	-0.419393565	4.181154281	-0.405697115	-0.428311474	-0.42955804	-0.428981097	-0.415219071	-0.341694718	-0.42435817	-0.433512754	-0.421385858	-0.402762468	-0.425951314	-0.421282467
Bradi1g00620.v3.1	-1.157616819	-0.734313478	-0.449299443	-0.955966628	-0.867888129	-1.051942621	-0.896684091	0.811655652	-0.008805816	-0.360346614	-0.057933184	-1.988803407	-0.203891133	1.018788388	1.119028872	0.738583744	1.992155542	-0.732258151	-0.219180872	1.643592615	1.408596047	0.52272001	0.960692695	-0.530883182
Bradi1g00678.v3.1	-0.531078007	-0.676133319	-0.889218434	-0.607507236	-0.88256881	-1.156955555	-0.917424004	-0.812975969	-0.842629795	-0.932503493	-0.95504024	-1.04263165	0.842047317	1.49758165	1.727224275	1.842517533	1.796988483	1.322212949	-0.179575176	0.08802932	0.297217551	0.17991762	0.625493315	0.207011674
Bradi1g00700.v3.1	-0.707804077	-0.906697579	-0.842997803	-1.090255287	-0.797161593	-1.106266337	0.115339603	1.112059555	-0.224947094	0.420881424	0.184137036	-0.09745841	0.978471447	1.418576848	2.846213173	1.256925967	0.707201088	0.686492015	-0.851409529	-0.423431728	-0.4782512	-1.197804251	0.093131315	-1.094944582
Bradi1g00710.v3.1	-0.751067592	0.098116282	1.025167288	-0.467695472	0.484268907	0.643170287	0.130822409	0.977695816	2.211910005	1.539221398	1.528431229	0.176709178	-1.054362574	-1.520951746	-0.4461651	0.391082122	0.029516929	0.282805855	-1.500961935	-0.166409854	-0.987522707	-0.729554319	-0.090845398	-1.803381011
Bradi1g00740.v3.1	0.649616976	0.768618622	0.281786961	0.306718211	0.885455873	-0.285590641	1.370515663	2.336553939	1.256290157	0.838245089	1.061941525	0.87949649	-0.42927395	-0.872336324	-1.347842394	-0.889755285	-1.65420248	-0.901052404	-0.80802664	-0.736879355	-0.918271401	-0.969953783	-0.476251238	-0.34580361
Bradi1g00750.v3.1	-0.828402759	-1.198402701	-0.035400918	-0.760455246	-0.840824478	-1.131186631	-1.671912335	-0.842733185	-0.79456839	-0.71012601	-0.315311881	-1.619048553	0.881145524	0.578688928	0.714624337	0.732547765	2.060560526	0.551531203	0.558654245	0.979184949	1.286178854	0.674810872	1.291347269	0.439098614
Bradi1g00790.v3.1	0.609771472	0.538665872	0.90284715	0.266062998	0.827382375	0.142423392	0.921012777	1.522162396	1.433942073	0.812033728	1.97484587	-0.386681642	-1.411995825	-1.378287652	-1.43367727	-1.353706917	-1.337472395	-1.283915652	-0.433581703	0.006406494	-0.223068272	-0.457002598	0.114098794	-0.372265465
Bradi1g00800.v3.1	-0.878205091	-0.878205091	-0.834628595	-0.878205091	-0.770223298	-0.878205091	-0.878205091	-0.878205091	-0.878205091	-0.851608581	-0.859586313	-0.878205091	0.369332129	0.300229953	1.044473929	1.909124773	0.680047141	0.950196544	0.751228146	0.042552021	1.047619527	0.469223683	2.614998328	0.162661339
Bradi1g00847.v3.1	0.165429144	0.524307542	0.331596867	1.040080658	1.929851803	-1.26341202	0.281045333	-1.03072518	0.631415218	0.568217044	1.009989094	0.621584143	-1.74452619	-0.779593925	0.005745216	-0.189756778	1.636424761	-1.339079959	-0.847697552	-0.969526333	0.004443232	0.458356347	0.770986614	-1.81515508
Bradi1g00860.v3.1	-0.38549781	0.622131708	1.118147198	-0.109482458	0.796580874	0.474911729	-0.619066708	-0.380982227	0.21246395	-0.161579751	1.942327012	0.256589311	-1.734726683	-0.367294673	0.67282835	0.173727093	1.683989622	-0.037005702	-1.132460838	-0.685242862	-0.538928735	-0.306171893	1.147833581	-2.643090089
Bradi1g00900.v3.1	-0.533038151	-0.5838244	-0.140876588	-0.48656353	-0.044831896	-0.466949673	0.068213427	0.528826886	0.541642406	0.38236478	1.646125402	-0.065322598	-0.434461517	0.004284634	-0.238932551	0.19704089	3.889009189	0.388356913	-0.99843104	-0.947053749	-0.764522162	-0.633626849	-0.365487891	-0.941941932
Bradi1g00910.v3.1	-0.770957374	-0.146043217	-0.336707496	0.056946309	0.954196879	-0.599430131	0.554374405	0.463677118	1.079307532	1.180452951	2.854365582	0.592957221	-1.265874427	-0.501697008	0.316985496	-1.10099364	1.274679148	-1.048408119	-1.148987162	0.089028543	-0.978462793	-0.114735856	0.08575995	-1.49043391
