Gene,BhBd.10.1,BhBd.10.2,BhBd.10.3,BhBd.14.1,BhBd.14.2,BhBd.14.3,BhBd.18.1,BhBd.18.2,BhBd.18.3,BhBd.22.1,BhBd.22.2,BhBd.22.3,BhBd.2.1,BhBd.2.2,BhBd.2.3,BhBd.6.1,BhBd.6.2,BhBd.6.3
Bradi1g00222.v3.1,1.412273623,0,1.649387802,1.696029788,0.328103258,0.395178584,0.316614404,1.201578634,0.915965438,0,2.96041384,1.895910434,2.777629252,2.299053677,1.429777293,0,0.876844113,1.310976379
Bradi1g00234.v3.1,0.941515749,3.884966596,0,1.817174773,1.148361403,1.383125045,1.741379223,0.600789317,5.953775346,1.443490938,0.164467436,2.916785283,2.499866327,1.642181198,0,0.371568127,0,0
Bradi1g00260.v3.1,6.119852366,14.1687017,10.07959212,9.328163835,6.890168419,5.532500178,10.92319694,10.81420771,10.53360254,8.248519648,9.539111261,7.146123942,11.94380578,12.31635898,10.00844105,8.546066924,9.269494906,10.48781103
Bradi1g00266.v3.1,2.706857777,2.056747021,0.366530623,2.907479637,1.312413032,3.359017965,3.324451244,1.201578634,3.205879033,0,2.302544097,3.500142339,3.610918027,1.149526838,2.859554585,2.415192826,1.753688226,1.310976379
Bradi1g00450.v3.1,30.59926183,42.50610511,23.09142923,24.47128694,29.85739648,37.5419655,32.61128363,17.6231533,24.73106682,28.45739279,25.16351764,23.04260373,31.9427364,46.30950977,40.21248635,18.94997448,20.16741459,23.59757482
Bradi1g00460.v3.1,16.00576773,37.93555617,19.05959238,24.71357691,27.7247253,37.14678691,14.880877,27.63630858,21.98317051,35.2624215,22.03863636,17.20903317,17.63794575,30.87300652,40.03376419,27.49604141,30.06322672,36.54346657
Bradi1g00470.v3.1,45.42813487,58.50302639,53.33020561,61.90508727,58.2383283,49.7925016,55.24921353,54.27130164,62.51464114,57.32721156,53.12298168,50.89790318,67.91303521,96.72447254,95.08018995,36.97102865,36.57692585,51.29195083
Bradi1g00480.v3.1,71.9082653,91.18245129,93.83183942,77.6539353,94.82184157,82.78991338,73.77115617,104.5373412,108.5419044,105.3748385,96.54238466,111.4211978,111.382933,94.91807322,108.4843521,88.06164612,88.81178228,78.65858275
Bradi1g00485.v3.1,3.29530512,6.398768511,6.597551209,4.845799395,2.788877693,4.346964426,4.115987254,7.40973491,5.495792627,5.15532478,7.565502034,3.208463811,4.166443878,4.433889234,10.00844105,3.344113144,6.764226013,4.42454528
Bradi1g00497.v3.1,48.48806105,49.81898341,57.17877714,52.8192134,53.1527278,48.60696585,56.04074954,67.0881404,63.20161521,45.77928405,52.95851424,47.54360011,60.55231769,54.0277614,59.87192412,43.10190274,49.3537972,30.15245672
Bradi1g00510.v3.1,17.65342029,11.65489979,21.62530674,19.38319758,20.99860851,18.37580416,16.46394902,13.61789119,16.02939516,13.61005742,14.8020692,18.52158654,22.35991548,24.79693608,17.15732751,32.69799519,13.02739825,13.43750789
Bradi1g00517.v3.1,40.13210878,48.90487362,50.39796062,53.78837328,60.53505111,67.57553789,57.94043597,70.89313941,81.52092397,51.14082182,50.32703527,75.25306029,71.38507177,63.71663047,66.84208843,36.59946052,44.09273253,43.9177087
Bradi1g00530.v3.1,12.23970473,10.51226255,13.92816366,10.90304864,13.28818195,16.79508983,19.94670746,20.22657367,21.29619643,16.90946528,22.03863636,16.62567611,10.27722823,8.210905988,14.29777293,19.69311074,21.2947856,12.4542756
Bradi1g00540.v3.1,7.885194394,6.170241064,1.832653114,6.541829183,4.92154887,8.49633956,4.115987254,2.002631057,1.373948157,7.217454692,1.644674355,5.833570565,5.277495578,3.941234874,5.71910917,6.688226288,2.505268894,3.605185043
Bradi1g00560.v3.1,463.5788167,457.0548937,460.1791968,493.3023784,393.0677031,511.9538558,421.0971576,526.4917048,460.9596066,483.1570384,434.3584972,384.869818,458.1699451,569.015785,585.4938013,424.8881533,423.5157065,467.0353351
Bradi1g00567.v3.1,45.19275593,72.2146732,61.39387931,44.70249941,52.66057291,72.3176809,39.26018612,61.68103655,53.1259954,53.82159071,42.92600067,58.91906271,51.52502262,69.7927009,53.25920415,54.99208281,57.87171144,46.21191737
Bradi1g00580.v3.1,105.2143849,135.2882485,89.61673725,131.8057435,105.3211458,155.1075943,128.0705265,161.4120632,128.9221354,119.1911089,118.0876187,127.3176776,128.6042344,138.6000931,128.322512,109.4268134,134.658203,114.218817
Bradi1g00587.v3.1,6.002162897,2.513801915,4.764898095,4.845799395,6.562065161,2.766250089,6.015673679,6.608682487,3.663861752,2.062129912,3.618283582,4.666856452,2.222103401,3.941234874,6.076553493,6.316658161,4.760010898,1.638720474
Bradi1g00620.v3.1,117.9248475,116.5489979,105.92735,190.1976262,130.2569934,153.7244692,147.8589268,177.0325854,156.4010985,156.7218733,138.8105156,141.4640862,170.5464361,134.4946401,142.4415628,111.09887,141.5476925,109.7942718
Bradi1g00678.v3.1,14.12273623,7.769933192,19.79265363,17.32373284,16.4051629,10.66982177,15.1974914,18.42420572,14.19746429,12.99141845,15.62440638,15.458962,23.47096718,19.21352001,23.233881,15.97742947,11.27371002,20.64787797
Bradi1g00690.v3.1,7.061368114,2.285274468,2.565714359,8.96472888,7.546374935,6.322857347,6.648902488,7.209471804,12.82351613,4.124259824,3.618283582,14.29224788,3.333155102,6.240288551,6.255275655,1.857840636,4.760010898,3.605185043
Bradi1g00700.v3.1,23.65558318,30.16562298,26.02367421,39.73555504,32.48222255,21.73482213,37.9937285,34.84578039,15.11342972,17.52810425,12.4995251,17.20903317,42.21996463,49.10121781,50.75709388,28.61074579,12.52634447,18.02592521
Bradi1g00710.v3.1,25.89168309,22.62421724,27.85632733,38.16067023,21.98291829,28.05767948,14.56426259,26.43472995,27.47896314,23.71449399,23.68331072,23.33428226,33.0537881,30.21613404,26.45087991,28.61074579,18.28846292,19.0091575
Bradi1g00720.v3.1,2.000720966,7.312878299,1.832653114,2.180609728,3.28103258,5.532500178,5.699059275,6.00789317,6.869740784,2.886981877,4.276153324,5.687731301,12.22156871,11.82370462,8.936108078,12.26174819,4.258957119,5.899393706
