Gene,BhBs.10.1,BhBs.10.2,BhBs.10.3,BhBs.14.1,BhBs.14.2,BhBs.14.3,BhBs.18.1,BhBs.18.2,BhBs.18.3,BhBs.22.1,BhBs.22.2,BhBs.22.3,BhBs.2.1,BhBs.2.2,BhBs.2.3,BhBs.6.1,BhBs.6.2,BhBs.6.3
Bradi1g00222.v3.1,4.950168704,3.744972959,3.234532939,6.996527973,6.896567965,7.595274508,9.967691607,4.53771886,10.01629078,7.61344026,1.85095878,4.075698707,4.60067837,6.181079886,11.9429099,3.810187145,6.06357647,2.888016972
Bradi1g00234.v3.1,3.139131373,4.213094579,8.561998957,6.621713974,5.719105142,6.568886061,4.902143413,2.475119378,4.292696049,8.036409163,6.899028179,6.339975766,9.776441536,9.78670982,7.837534625,4.191205859,4.644441552,4.077200431
Bradi1g00260.v3.1,9.538129942,11.23491888,7.039865809,12.36886195,11.60641926,10.87971754,7.5166199,11.34429715,14.78595306,6.556018002,15.48074616,12.22709612,13.65826391,8.928226502,12.50273381,12.19259886,5.418515144,8.154400862
Bradi1g00266.v3.1,4.587961238,5.383398628,1.712399791,3.998015985,2.018507697,8.826940644,5.392357755,3.093899223,6.20056096,1.903360065,2.35576572,4.679505923,6.038390361,8.584833175,7.091102756,7.048846218,7.482711389,2.208483567
Bradi1g00450.v3.1,28.25218236,17.32049994,22.07093064,22.86365391,18.83940517,29.97054265,30.39328916,28.87639274,26.23314252,20.30250736,28.94226456,22.7937224,31.91720619,37.08647932,32.84300224,20.19399187,20.38393792,27.01145286
Bradi1g00460.v3.1,27.16555996,25.27856747,22.45146393,26.4868559,32.29612315,31.81804186,28.4324318,21.03851471,33.86460217,27.49297872,31.29803028,35.02081852,22.14076466,38.80344595,23.88581981,24.00417901,25.15739174,25.14273599
Bradi1g00470.v3.1,49.13947958,49.62089171,48.1374608,67.96627174,51.3037373,52.55108848,60.9499831,84.97909865,68.44465367,77.82627821,58.89414299,48.90838448,77.4926763,93.57468161,90.50486412,44.76969895,47.86355044,43.66002128
Bradi1g00480.v3.1,72.20002159,74.19727675,67.54465844,75.71242771,96.55195151,80.46885424,102.7816069,109.3177725,101.5938065,98.12878557,94.56716675,99.326287,93.30750819,119.6725745,111.5915644,102.8750529,106.951168,93.94549327
Bradi1g00485.v3.1,4.10501795,1.40436486,6.088532591,2.49875999,3.700597445,5.337219924,6.863000778,3.093899223,2.146348025,1.691875613,3.70191756,1.50951804,3.162966379,1.373573308,1.119647804,1.143056143,2.064196245,2.718133621
Bradi1g00497.v3.1,53.72744081,43.53531065,36.91172884,50.22507581,40.87478087,36.7447064,55.39422057,48.47108782,47.93510588,44.83470375,40.55282418,46.64410742,62.68424279,52.19578571,45.15912808,47.81784867,38.7036796,30.74888658
Bradi1g00510.v3.1,20.52508975,12.17116212,17.88506449,20.98958392,15.47522568,13.13777212,24.34731229,15.67575606,18.60168288,23.68625859,23.38938822,26.7184693,16.24614549,23.17904957,8.024142592,16.00278601,15.9975209,15.62926832
Bradi1g00517.v3.1,45.03446163,44.93967551,48.70826073,52.9737118,57.86388732,50.08775621,51.14569628,36.30175088,52.46628505,54.14001963,59.23068095,74.26828755,57.79602202,66.61830544,49.63771929,37.72085274,36.63948335,43.49013793
Bradi1g00530.v3.1,26.8033525,35.10912149,27.01786337,35.10757786,33.47358598,28.73887652,42.32183813,34.65167129,37.68033199,31.08821439,38.02878948,32.45463785,37.66805415,28.84503947,39.56088906,43.81715217,35.09133617,25.14273599
Bradi1g00540.v3.1,5.916055281,4.213094579,4.566399444,3.748139986,8.242239763,5.542497614,2.451071707,0.825039793,0.476966228,4.441173485,1.6826898,2.113325255,3.162966379,2.91884328,3.918767313,1.714584215,2.064196245,3.567550377
Bradi1g00560.v3.1,393.4780441,396.499012,383.5775533,366.6930286,368.5458637,434.5728684,380.2429241,445.934008,405.8982598,381.5179508,444.9031831,394.8899192,352.9582937,450.1886517,485.7405388,335.6774875,361.4923674,371.0252392
Bradi1g00567.v3.1,35.49633168,56.87677681,43.00026143,40.23003584,47.43493088,60.96747375,40.52438555,47.85230798,33.62611905,46.31509491,53.34126665,46.34220381,48.59466528,57.69007894,50.7573671,37.33983402,42.96108435,41.45153772
