Gene,Bs.10.1,Bs.10.2,Bs.10.3,Bs.14.1,Bs.14.2,Bs.14.3,Bs.18.1,Bs.18.2,Bs.18.3,Bs.22.1,Bs.22.2,Bs.22.3,Bs.2.1,Bs.2.2,Bs.2.3,Bs.6.1,Bs.6.2,Bs.6.3
Bradi1g00222.v3.1,1.895578998,3.078837746,3.386982705,1.000786849,3.499326052,3.145932812,2.993587542,2.53099603,4.011107001,1.373968922,2.716439621,3.947216245,4.367989305,4.667590417,1.837572694,1.328317984,3.079271881,3.545526563
Bradi1g00234.v3.1,5.402400144,3.534961856,4.42913123,7.313442361,8.63896119,7.460354955,7.242550506,8.342912841,5.402715552,6.18286015,4.124963869,5.131381119,4.138095131,8.816559677,8.510863004,5.503031649,8.145170783,3.920935258
Bradi1g00260.v3.1,8.624884441,14.48194051,8.597725328,8.237245607,8.857669068,9.797333615,9.270464647,9.749021747,8.431510634,6.984342021,7.746883363,13.15738748,9.770502393,9.594491414,8.3174343,9.393105745,8.045839432,7.091053127
Bradi1g00266.v3.1,4.359831695,6.955892684,1.954028484,3.772196586,3.499326052,5.0334925,7.049415826,6.655582154,5.812012185,4.465398997,6.237750241,5.789250493,8.965872785,4.797245707,4.835717616,9.867505025,3.277934583,4.171207721
Bradi1g00450.v3.1,43.21920115,40.59504583,46.76641504,54.7353423,63.09722287,66.963427,61.80309765,63.36864135,59.42987107,57.59219732,59.96288941,64.20805093,96.2107118,90.62904727,92.94249258,58.54087116,63.27407059,55.89418347
Bradi1g00460.v3.1,22.93650588,26.45519841,26.57478738,20.78557303,23.07368115,23.4596704,27.2319899,23.62262962,26.27684382,22.4414924,25.15221871,27.49893984,31.03571349,32.15451176,34.14016637,17.93229279,18.97228804,21.2314473
Bradi1g00470.v3.1,55.54046464,64.99768574,50.15339775,75.44393173,69.98652103,76.22145785,70.39759092,78.55461754,92.91033563,93.20089189,96.88634648,85.39144478,136.2122981,164.9215281,110.6412191,61.10262727,66.25401112,73.32983174
Bradi1g00480.v3.1,93.0729288,115.9695551,105.7780753,91.76445573,118.9770858,114.0625354,107.8657189,123.7375837,111.9016994,113.6959283,117.5111658,129.8634145,127.2464253,140.9352995,127.9530881,116.7022229,110.8537877,112.4557602
Bradi1g00485.v3.1,4.549389595,3.763023911,3.647519836,7.313442361,4.264803625,3.056049018,3.669558923,4.968251467,5.238996899,5.839367919,4.024354994,3.420920746,5.517460175,4.019313971,4.448860207,5.503031649,3.178603232,4.087783567
Bradi1g00497.v3.1,39.04892736,40.82310789,50.67447201,44.41953939,51.39635138,58.06493133,48.1871027,48.65136814,58.44755916,47.28743041,44.26790493,58.68194818,56.89880806,60.28970956,59.67275538,46.20648988,48.8710247,47.38491972
Bradi1g00510.v3.1,18.00800048,15.73628181,17.06518209,15.93560599,16.84050662,16.8082696,19.69973738,19.68552468,26.35870315,13.5106944,19.51812172,20.52552448,17.35701013,18.54070638,18.37572694,35.39018629,22.64754803,20.73090238
Bradi1g00517.v3.1,47.95814865,29.07791204,29.44069582,40.80131001,38.93000232,41.07689415,43.26216835,50.05747705,42.40313115,34.00573082,35.2131062,51.31381119,49.19735323,43.82348781,57.25489658,40.89321794,42.81181229,37.99970234
Bradi1g00530.v3.1,28.81280077,28.62178793,30.35257578,23.55698276,26.79171508,22.92036763,33.02603031,29.71576821,24.06664201,29.65482924,39.33807007,36.31438946,22.87447031,27.48692135,34.14016637,29.50763522,28.30943504,28.61448497
Bradi1g00540.v3.1,7.108421242,6.727830629,6.643696845,7.236458757,7.217359982,6.651400803,5.504338384,8.811615809,7.285480063,6.41185497,6.036532491,5.920824368,6.322089784,8.686904388,6.67329031,7.115989201,7.549182677,6.673932354
Bradi1g00560.v3.1,304.7143239,270.2535354,296.3609867,310.7058249,297.9894841,296.9760575,308.0498148,307.3754068,273.1645727,325.745132,385.6338173,287.8836382,414.0394073,385.9837965,363.2591073,284.639568,323.5222102,285.5191685
Bradi1g00567.v3.1,52.88665404,68.30458554,59.66300304,57.19881762,48.77185685,58.06493133,61.60996297,68.14941163,71.70877006,55.98923358,59.66106279,66.4448068,63.68068619,66.38350816,63.34790077,66.03637978,58.6054971,55.05994192
Bradi1g00580.v3.1,101.0343606,99.54908711,85.32591046,83.68117733,100.49627,88.7153053,96.8570421,114.3635243,101.5874242,98.9257624,112.3801132,113.6798279,113.1079336,133.1559822,108.706932,112.9070287,92.97414455,96.52174667
Bradi1g00587.v3.1,3.791157996,1.482403359,3.126445574,2.23252451,1.749663026,1.258373125,2.607318182,0.281221781,1.064171245,1.259471512,3.219483995,1.052590999,2.069047566,0.388965868,2.127715751,0.94879856,0.99331351,1.459922703
Bradi1g00620.v3.1,108.6166766,112.8907173,96.1382014,146.499798,124.007367,141.8366279,133.9389007,140.7046312,145.4640233,129.2675761,142.5627757,118.811209,154.4888849,195.9091422,137.3343803,86.62530854,103.5032678,86.5942723
Bradi1g00678.v3.1,32.50917982,35.80574267,29.96177008,31.17835954,45.92865443,45.2115487,42.29649495,47.43274042,41.0115226,49.34838379,44.56973156,41.05104895,46.20872897,50.43590757,36.65473953,40.60857837,34.56731015,40.71098736
Bradi1g00690.v3.1,11.37347399,4.675272132,7.034502541,7.08249155,6.670590286,7.640122544,6.470011785,6.093138592,10.15055649,7.213336842,4.527399368,6.973415367,7.356613567,3.111726945,5.899575492,4.079833808,8.641827538,7.174477281
Bradi1g00700.v3.1,52.50753824,40.13892172,46.37560935,57.27580123,54.7863235,47.72829495,80.2474596,81.17935416,65.73303922,50.72235271,56.44157879,44.9982652,39.88663918,41.74900318,44.58531642,39.37514024,30.89205016,54.97651777
Bradi1g00710.v3.1,26.63288492,22.23605038,19.01921058,22.40222871,15.63761329,23.99897317,22.4036229,26.34110683,26.76799978,28.85334737,28.47231158,28.68310472,30.34603096,23.85657324,27.27344736,24.38412299,30.69338746,29.57386275
Bradi1g00720.v3.1,7.013642292,6.955892684,6.904233976,6.466622719,11.59151755,9.168147053,12.84345623,7.780469279,14.81653811,6.18286015,8.149318863,6.973415367,9.770502393,11.0206996,9.381292175,7.115989201,5.562555657,6.88249274
Bradi1g00730.v3.1,28.90757972,28.62178793,24.49049033,29.86963827,34.55584476,28.85269808,35.05394445,33.84035433,35.7725257,28.39535773,22.93882347,34.47235521,17.7018514,29.82071656,37.13831129,37.38266327,33.07733989,27.98880381
Bradi1g00740.v3.1,2.559031647,6.271706519,3.126445574,2.23252451,3.389972113,3.775119375,3.572991583,1.031146531,2.046483164,2.633440434,4.426790493,2.236755872,1.839153392,2.07448463,0.967143523,2.277116544,3.575928636,3.378678254
Bradi1g00750.v3.1,103.6881712,117.7940515,97.18034992,99.1548817,102.464641,102.8270611,90.09732829,110.8013818,109.9370756,98.58227017,113.8892463,99.20670164,135.2927214,127.9697706,110.8346478,104.3678416,96.64940453,102.1528771
