"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.61,0.55,0.48,0.39,0.36,0.37,0.37,0.38,0.38,0.37,0.41,0.43,0.47,0.52,0.61,0.72,0.77,0.8,0.51
"2",0.99,0.99,0.95,0.91,0.85,0.73,0.7,0.66,0.62,0.65,0.66,0.69,0.7,0.76,0.8,0.88,0.92,0.95,0.92
"3",0.99,1,0.97,0.89,0.79,0.66,0.55,0.42,0.3,0.24,0.2,0.21,0.21,0.26,0.31,0.36,0.44,0.53,0.47
"4",1,0.99,0.95,0.83,0.73,0.63,0.51,0.43,0.35,0.33,0.26,0.26,0.22,0.24,0.25,0.27,0.25,0.25,0.43
"5",0.39,0.3,0.26,0.18,0.11,0.07,0.04,0.03,0.02,0.01,0.02,0.05,0.06,0.07,0.09,0.12,0.12,0.13,0.04
"6",0.45,0.41,0.35,0.32,0.28,0.22,0.16,0.19,0.19,0.2,0.23,0.27,0.32,0.37,0.4,0.41,0.42,0.46,0.22
"7",0.99,0.95,0.92,0.82,0.7,0.62,0.47,0.37,0.26,0.18,0.16,0.13,0.09,0.08,0.1,0.09,0.11,0.14,0.26
"8",0.05,0.07,0.08,0.08,0.09,0.13,0.13,0.14,0.12,0.11,0.1,0.09,0.09,0.09,0.1,0.11,0.14,0.16,0.07
"9",0.15,0.17,0.19,0.21,0.24,0.31,0.4,0.45,0.51,0.57,0.63,0.67,0.63,0.67,0.72,0.75,0.78,0.81,0.47
"10",0.36,0.33,0.29,0.29,0.32,0.35,0.37,0.4,0.5,0.51,0.52,0.47,0.45,0.35,0.26,0.2,0.17,0.14,0.38
"11",0.27,0.21,0.18,0.17,0.17,0.14,0.12,0.1,0.1,0.09,0.09,0.1,0.09,0.12,0.12,0.16,0.19,0.22,0.12
"12",0.78,0.78,0.8,0.82,0.81,0.77,0.71,0.62,0.5,0.4,0.29,0.21,0.15,0.09,0.06,0.06,0.07,0.07,0.32
"13",0.87,0.88,0.93,0.93,0.94,0.91,0.76,0.61,0.41,0.29,0.21,0.12,0.05,0.01,0,0.01,0.01,0.01,0.23
"14",0.51,0.45,0.37,0.33,0.29,0.26,0.18,0.14,0.14,0.14,0.15,0.19,0.21,0.25,0.3,0.31,0.3,0.28,0.2
"15",1,0.97,0.96,0.85,0.73,0.61,0.47,0.37,0.29,0.21,0.16,0.12,0.13,0.12,0.13,0.15,0.17,0.18,0.27
"16",0.31,0.22,0.17,0.12,0.09,0.08,0.09,0.11,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.08,0.09,0.1,0.06
"17",0.53,0.48,0.44,0.41,0.34,0.29,0.25,0.18,0.15,0.15,0.16,0.18,0.26,0.31,0.37,0.47,0.59,0.74,0.21
"18",0.67,0.63,0.5,0.46,0.41,0.36,0.33,0.35,0.42,0.48,0.58,0.68,0.8,0.9,0.94,0.95,0.93,0.91,0.65
"19",0.87,0.83,0.82,0.78,0.72,0.66,0.56,0.53,0.5,0.49,0.46,0.47,0.45,0.45,0.43,0.48,0.5,0.54,0.6
"20",0.96,0.91,0.89,0.87,0.83,0.78,0.77,0.72,0.73,0.72,0.7,0.68,0.72,0.74,0.77,0.78,0.82,0.82,0.92
"21",0.16,0.15,0.14,0.15,0.15,0.15,0.2,0.22,0.24,0.27,0.3,0.37,0.39,0.41,0.46,0.42,0.46,0.49,0.23
"22",0.63,0.59,0.56,0.53,0.46,0.43,0.41,0.41,0.41,0.39,0.43,0.49,0.52,0.56,0.62,0.65,0.69,0.75,0.57
"23",0.27,0.25,0.23,0.25,0.25,0.26,0.28,0.34,0.47,0.64,0.72,0.8,0.86,0.93,0.97,1,0.99,0.98,0.56
"24",0.45,0.35,0.29,0.21,0.16,0.1,0.07,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.04,0.04,0.04,0.03,0.02
"25",0.35,0.25,0.22,0.16,0.14,0.14,0.14,0.14,0.19,0.2,0.21,0.28,0.38,0.45,0.53,0.62,0.7,0.75,0.23
"26",0.37,0.31,0.22,0.13,0.07,0.05,0.03,0.01,0.02,0.02,0.03,0.08,0.16,0.28,0.42,0.69,0.85,0.98,0.05
"27",0.77,0.81,0.85,0.91,0.9,0.89,0.86,0.74,0.59,0.36,0.26,0.15,0.09,0.06,0.04,0.03,0.03,0.05,0.26
"28",0.16,0.11,0.06,0.04,0.05,0.06,0.05,0.06,0.13,0.19,0.36,0.49,0.7,0.84,0.94,1,1,1,0.17
"29",0.26,0.26,0.29,0.29,0.3,0.35,0.4,0.46,0.62,0.72,0.78,0.82,0.87,0.9,0.9,0.94,0.96,0.97,0.67
"30",0.12,0.09,0.07,0.04,0.01,0.01,0.01,0,0,0,0,0,0,0.04,0.08,0.14,0.23,0.37,0.01
"31",0.34,0.28,0.25,0.24,0.23,0.23,0.19,0.18,0.12,0.08,0.05,0.05,0.02,0.02,0.04,0.04,0.05,0.07,0.09
"32",0.8,0.75,0.76,0.73,0.69,0.72,0.71,0.68,0.66,0.59,0.57,0.53,0.54,0.52,0.48,0.45,0.47,0.5,0.75
"33",0.61,0.51,0.39,0.36,0.28,0.18,0.15,0.11,0.11,0.11,0.13,0.16,0.14,0.15,0.19,0.26,0.27,0.26,0.17
"34",0.15,0.17,0.26,0.34,0.4,0.47,0.49,0.57,0.67,0.74,0.83,0.9,0.93,0.94,0.88,0.8,0.72,0.64,0.61
"35",0.44,0.32,0.25,0.19,0.1,0.07,0.06,0.04,0.04,0.05,0.07,0.12,0.19,0.32,0.38,0.44,0.49,0.55,0.11
"36",0.98,0.93,0.93,0.92,0.89,0.87,0.84,0.79,0.68,0.6,0.49,0.35,0.32,0.25,0.23,0.22,0.23,0.21,0.61
"37",0.82,0.82,0.84,0.88,0.95,0.98,0.98,0.95,0.87,0.83,0.79,0.69,0.59,0.54,0.44,0.35,0.24,0.21,0.85
"38",0.46,0.44,0.39,0.39,0.41,0.42,0.48,0.51,0.54,0.59,0.66,0.77,0.82,0.88,0.89,0.9,0.89,0.9,0.7
"39",0.59,0.54,0.51,0.49,0.53,0.6,0.61,0.72,0.78,0.8,0.83,0.85,0.85,0.85,0.77,0.64,0.61,0.55,0.82
"40",0.8,0.72,0.68,0.61,0.55,0.49,0.37,0.32,0.24,0.22,0.25,0.24,0.25,0.26,0.25,0.28,0.32,0.36,0.39
"41",0.23,0.21,0.17,0.17,0.17,0.17,0.17,0.17,0.2,0.24,0.28,0.42,0.6,0.72,0.78,0.81,0.86,0.86,0.27
"42",0.05,0.06,0.07,0.13,0.17,0.29,0.41,0.55,0.78,0.9,0.88,0.77,0.69,0.61,0.49,0.47,0.43,0.42,0.39
"43",0.61,0.6,0.56,0.52,0.48,0.49,0.56,0.53,0.57,0.66,0.76,0.84,0.92,0.95,0.97,0.95,0.94,0.91,0.84
"44",0.83,0.78,0.75,0.74,0.71,0.69,0.68,0.72,0.73,0.74,0.83,0.91,0.97,0.99,0.99,1,0.98,0.97,0.95
"45",0.92,0.95,0.96,0.96,0.98,0.93,0.88,0.86,0.85,0.81,0.76,0.8,0.85,0.86,0.84,0.86,0.85,0.86,0.97
"46",0,0,0,0,0.01,0.01,0.01,0.01,0.03,0.06,0.1,0.18,0.23,0.26,0.29,0.29,0.26,0.25,0.01
"47",0.61,0.5,0.42,0.32,0.27,0.21,0.18,0.14,0.1,0.05,0.06,0.05,0.05,0.09,0.16,0.23,0.35,0.45,0.15
"48",0.8,0.83,0.82,0.86,0.92,0.93,0.91,0.88,0.83,0.78,0.75,0.7,0.68,0.67,0.64,0.63,0.61,0.54,0.87
"49",0.76,0.66,0.58,0.48,0.36,0.23,0.2,0.14,0.08,0.06,0.04,0.02,0,0,0.01,0.01,0.01,0.01,0.08
"50",0.18,0.17,0.14,0.1,0.09,0.09,0.11,0.11,0.1,0.13,0.16,0.17,0.16,0.17,0.18,0.22,0.26,0.27,0.13
"51",0.36,0.35,0.34,0.23,0.19,0.18,0.16,0.16,0.15,0.17,0.24,0.29,0.39,0.5,0.58,0.73,0.8,0.87,0.29
"52",0.27,0.32,0.31,0.36,0.38,0.41,0.46,0.49,0.52,0.52,0.49,0.42,0.35,0.3,0.31,0.31,0.28,0.27,0.36
"53",0.5,0.42,0.35,0.23,0.16,0.11,0.08,0.06,0.05,0.07,0.09,0.09,0.11,0.15,0.22,0.32,0.4,0.46,0.12
"54",0.49,0.45,0.33,0.25,0.19,0.12,0.08,0.07,0.05,0.08,0.12,0.15,0.17,0.23,0.32,0.43,0.55,0.63,0.15
"55",0.32,0.25,0.17,0.08,0.07,0.06,0.04,0.06,0.07,0.09,0.11,0.16,0.21,0.28,0.36,0.52,0.57,0.63,0.13
"56",0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.05,0.17,0.39,0.58,0.77,0.92,0.98,0.95,0.91,0.84,0.04
"57",0.11,0.09,0.06,0.04,0.03,0.03,0.05,0.05,0.04,0.08,0.17,0.25,0.35,0.47,0.55,0.63,0.65,0.72,0.08
"58",0.57,0.56,0.56,0.56,0.57,0.54,0.54,0.54,0.52,0.53,0.54,0.55,0.57,0.61,0.62,0.68,0.71,0.71,0.63
"59",0.13,0.09,0.06,0.03,0.03,0.03,0.02,0.02,0.03,0.06,0.07,0.1,0.18,0.25,0.3,0.41,0.54,0.64,0.05
"60",0,0,0,0.01,0.01,0.02,0.02,0.03,0.06,0.11,0.16,0.26,0.41,0.58,0.74,0.82,0.89,0.94,0.06
"61",0.94,0.93,0.89,0.86,0.84,0.81,0.78,0.74,0.73,0.71,0.69,0.72,0.73,0.77,0.81,0.82,0.83,0.8,0.94
"62",0.49,0.39,0.25,0.12,0.06,0.02,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.03,0
"63",0.72,0.72,0.73,0.71,0.68,0.66,0.67,0.66,0.69,0.67,0.66,0.64,0.59,0.5,0.4,0.35,0.37,0.36,0.72
"64",0.71,0.68,0.6,0.55,0.54,0.5,0.52,0.55,0.57,0.61,0.63,0.62,0.63,0.67,0.66,0.66,0.68,0.71,0.73
"65",0.17,0.15,0.14,0.15,0.14,0.13,0.14,0.17,0.2,0.3,0.33,0.36,0.35,0.33,0.32,0.3,0.3,0.28,0.21
"66",0.33,0.27,0.21,0.11,0.1,0.07,0.06,0.03,0.03,0.04,0.04,0.06,0.11,0.13,0.17,0.22,0.29,0.37,0.06
"67",0.57,0.63,0.67,0.68,0.7,0.76,0.72,0.7,0.69,0.71,0.69,0.65,0.62,0.6,0.61,0.6,0.61,0.62,0.8
"68",0.21,0.15,0.14,0.13,0.11,0.1,0.1,0.1,0.13,0.17,0.22,0.3,0.38,0.44,0.51,0.55,0.61,0.63,0.17
"69",0.29,0.28,0.24,0.23,0.22,0.22,0.27,0.29,0.33,0.38,0.41,0.42,0.47,0.47,0.47,0.41,0.37,0.32,0.33
"70",0.59,0.51,0.44,0.39,0.31,0.3,0.28,0.28,0.26,0.29,0.32,0.39,0.46,0.5,0.55,0.62,0.66,0.69,0.39
"71",0.55,0.46,0.42,0.34,0.3,0.29,0.29,0.25,0.23,0.25,0.28,0.34,0.44,0.51,0.59,0.62,0.66,0.68,0.41
"72",1,0.99,0.99,0.94,0.89,0.77,0.55,0.33,0.17,0.1,0.07,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.12
"73",0.99,0.95,0.91,0.88,0.78,0.66,0.55,0.47,0.4,0.32,0.28,0.28,0.33,0.35,0.44,0.52,0.59,0.76,0.67
"74",0.83,0.79,0.72,0.57,0.48,0.32,0.18,0.13,0.05,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.06
"75",0.01,0,0,0,0,0,0.03,0.07,0.12,0.21,0.29,0.41,0.54,0.69,0.79,0.87,0.94,0.96,0.11
"76",0.2,0.18,0.15,0.14,0.16,0.23,0.26,0.31,0.43,0.53,0.6,0.7,0.77,0.8,0.84,0.87,0.88,0.89,0.48
"77",0.16,0.15,0.15,0.15,0.15,0.18,0.19,0.18,0.24,0.33,0.4,0.45,0.5,0.51,0.46,0.41,0.37,0.34,0.21
"78",0.01,0,0,0,0,0,0,0.01,0.01,0.08,0.14,0.28,0.44,0.63,0.76,0.79,0.77,0.77,0.03
"79",0.54,0.43,0.29,0.24,0.18,0.1,0.04,0.01,0.01,0.01,0,0.03,0.05,0.06,0.11,0.15,0.2,0.22,0.02
"80",0.45,0.41,0.39,0.36,0.32,0.3,0.32,0.33,0.42,0.52,0.63,0.8,0.85,0.93,0.97,0.96,0.94,0.89,0.63
"81",0.79,0.75,0.74,0.69,0.65,0.6,0.56,0.54,0.48,0.42,0.37,0.35,0.36,0.38,0.42,0.46,0.53,0.59,0.54
"82",0.52,0.45,0.35,0.3,0.22,0.17,0.12,0.08,0.08,0.08,0.08,0.12,0.18,0.23,0.3,0.41,0.49,0.57,0.15
"83",0.48,0.36,0.29,0.26,0.22,0.19,0.14,0.09,0.06,0.06,0.07,0.07,0.07,0.1,0.15,0.22,0.31,0.38,0.12
"84",0.23,0.27,0.32,0.35,0.38,0.48,0.61,0.69,0.8,0.91,0.96,0.99,1,1,1,1,1,1,0.74
