"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.42,0.32,0.26,0.17,0.16,0.1,0.1,0.11,0.11,0.12,0.15,0.22,0.29,0.36,0.42,0.46,0.5,0.53,0.17
"2",0.93,0.93,0.96,0.98,0.99,1,0.97,0.86,0.79,0.53,0.4,0.26,0.11,0.05,0.02,0.01,0.01,0.01,0.33
"3",0.88,0.91,0.92,0.91,0.88,0.79,0.72,0.59,0.53,0.47,0.47,0.42,0.45,0.5,0.56,0.62,0.67,0.74,0.76
"4",0.42,0.37,0.32,0.33,0.31,0.31,0.33,0.39,0.38,0.36,0.35,0.28,0.25,0.22,0.21,0.21,0.22,0.23,0.31
"5",0.99,0.95,0.93,0.94,0.92,0.9,0.84,0.79,0.75,0.71,0.71,0.68,0.74,0.8,0.82,0.86,0.88,0.89,0.97
"6",0.87,0.83,0.78,0.74,0.71,0.69,0.65,0.64,0.57,0.53,0.56,0.56,0.57,0.5,0.48,0.45,0.43,0.43,0.66
"7",0.77,0.77,0.8,0.8,0.84,0.86,0.82,0.8,0.76,0.68,0.65,0.6,0.56,0.51,0.51,0.53,0.54,0.57,0.79
"8",0.11,0.09,0.08,0.08,0.09,0.1,0.09,0.11,0.12,0.14,0.18,0.14,0.15,0.14,0.1,0.07,0.06,0.04,0.06
"9",0.79,0.81,0.82,0.83,0.84,0.86,0.89,0.9,0.97,0.97,0.96,0.98,0.92,0.87,0.76,0.71,0.67,0.65,0.96
"10",0.71,0.68,0.66,0.6,0.59,0.53,0.49,0.47,0.47,0.52,0.53,0.54,0.55,0.54,0.49,0.46,0.4,0.36,0.59
"11",0.28,0.22,0.22,0.24,0.2,0.23,0.28,0.33,0.43,0.51,0.59,0.67,0.74,0.8,0.84,0.87,0.84,0.85,0.44
"12",0.26,0.26,0.22,0.23,0.2,0.16,0.16,0.16,0.15,0.09,0.07,0.05,0.05,0.04,0.05,0.06,0.06,0.09,0.05
"13",0.4,0.4,0.41,0.39,0.39,0.4,0.41,0.4,0.42,0.42,0.42,0.42,0.47,0.52,0.52,0.57,0.62,0.63,0.5
"14",0.61,0.58,0.52,0.5,0.49,0.47,0.51,0.5,0.53,0.56,0.61,0.65,0.71,0.75,0.77,0.8,0.83,0.8,0.7
"15",0.98,0.93,0.91,0.87,0.85,0.76,0.75,0.78,0.83,0.89,0.92,0.96,1,0.99,0.97,0.94,0.91,0.84,0.99
"16",0.5,0.5,0.49,0.48,0.46,0.41,0.42,0.45,0.48,0.53,0.58,0.61,0.63,0.67,0.73,0.79,0.83,0.89,0.68
"17",0.7,0.76,0.85,0.86,0.91,0.92,0.87,0.8,0.7,0.62,0.53,0.49,0.44,0.42,0.39,0.41,0.42,0.44,0.7
"18",0.5,0.47,0.46,0.46,0.45,0.49,0.56,0.6,0.63,0.71,0.71,0.69,0.67,0.62,0.52,0.45,0.36,0.28,0.59
"19",0.2,0.16,0.14,0.13,0.1,0.1,0.09,0.07,0.08,0.07,0.07,0.07,0.09,0.11,0.16,0.19,0.2,0.22,0.07
"20",0.57,0.47,0.43,0.39,0.35,0.35,0.38,0.41,0.47,0.6,0.79,0.86,0.96,0.99,0.97,0.95,0.87,0.82,0.66
"21",0.3,0.3,0.29,0.32,0.34,0.33,0.39,0.42,0.47,0.45,0.34,0.28,0.15,0.06,0.04,0.03,0.01,0.01,0.17
"22",0.72,0.72,0.72,0.71,0.72,0.74,0.74,0.75,0.73,0.74,0.72,0.71,0.68,0.65,0.64,0.6,0.58,0.55,0.79
"23",0.17,0.17,0.15,0.15,0.2,0.23,0.22,0.24,0.31,0.38,0.47,0.51,0.61,0.65,0.64,0.66,0.68,0.74,0.31
"24",0.2,0.15,0.08,0.06,0.05,0.04,0,0,0,0,0,0.01,0.01,0.02,0.07,0.09,0.13,0.17,0
"25",0.36,0.31,0.28,0.2,0.18,0.18,0.19,0.21,0.24,0.28,0.33,0.43,0.52,0.57,0.59,0.6,0.64,0.65,0.31
"26",0.09,0.06,0.06,0.04,0.04,0.05,0.08,0.09,0.1,0.12,0.15,0.15,0.19,0.27,0.35,0.46,0.51,0.52,0.1
"27",0.91,0.9,0.88,0.87,0.86,0.82,0.85,0.9,0.93,0.95,0.9,0.88,0.85,0.82,0.81,0.81,0.82,0.81,0.97
"28",0.95,0.94,0.96,0.95,0.93,0.93,0.92,0.95,0.88,0.83,0.75,0.68,0.65,0.58,0.51,0.5,0.5,0.52,0.84
"29",0.77,0.75,0.73,0.75,0.74,0.71,0.72,0.73,0.69,0.71,0.79,0.83,0.82,0.86,0.8,0.76,0.76,0.74,0.94
"30",0.54,0.53,0.5,0.47,0.42,0.39,0.35,0.32,0.28,0.24,0.23,0.25,0.29,0.31,0.35,0.36,0.4,0.42,0.33
"31",0.49,0.57,0.63,0.76,0.91,0.99,0.99,0.94,0.84,0.76,0.65,0.64,0.68,0.72,0.75,0.79,0.81,0.86,0.89
"32",0.03,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.03,0
"33",0.23,0.23,0.21,0.2,0.2,0.14,0.13,0.08,0.08,0.06,0.05,0.04,0.02,0.02,0.03,0.03,0.03,0.08,0.03
"34",0.59,0.65,0.7,0.76,0.78,0.79,0.79,0.79,0.76,0.74,0.73,0.71,0.71,0.71,0.76,0.79,0.84,0.88,0.86
"35",0.26,0.24,0.22,0.21,0.16,0.14,0.1,0.06,0.04,0.02,0.02,0.02,0.02,0.01,0.03,0.04,0.04,0.07,0.02
"36",0.07,0.08,0.09,0.09,0.1,0.15,0.25,0.31,0.46,0.66,0.81,0.89,0.91,0.87,0.79,0.61,0.5,0.47,0.4
"37",0.53,0.58,0.65,0.72,0.75,0.81,0.82,0.76,0.7,0.61,0.55,0.46,0.45,0.46,0.45,0.47,0.49,0.51,0.69
"38",0.53,0.55,0.55,0.56,0.55,0.54,0.53,0.51,0.44,0.38,0.36,0.28,0.27,0.2,0.17,0.16,0.15,0.14,0.39
"39",0.72,0.68,0.63,0.55,0.45,0.41,0.34,0.22,0.19,0.14,0.1,0.09,0.07,0.08,0.11,0.15,0.2,0.21,0.17
"40",0.13,0.15,0.11,0.1,0.1,0.11,0.09,0.07,0.08,0.06,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03
"41",0.37,0.37,0.37,0.36,0.35,0.34,0.32,0.32,0.36,0.38,0.41,0.41,0.45,0.47,0.51,0.55,0.57,0.57,0.43
"42",0.67,0.72,0.76,0.74,0.77,0.74,0.69,0.64,0.55,0.48,0.39,0.29,0.24,0.19,0.19,0.18,0.17,0.15,0.47
"43",0.73,0.8,0.9,0.97,1,1,0.99,0.97,0.94,0.91,0.89,0.9,0.95,0.98,1,1,1,0.95,0.99
"44",0.4,0.41,0.46,0.52,0.56,0.64,0.72,0.78,0.82,0.83,0.8,0.69,0.6,0.54,0.51,0.52,0.47,0.41,0.72
"45",0.19,0.19,0.17,0.2,0.23,0.27,0.35,0.48,0.57,0.78,0.9,0.98,1,0.98,0.94,0.9,0.89,0.87,0.6
"46",0,0,0,0,0,0,0,0,0,0.02,0.06,0.09,0.1,0.18,0.22,0.25,0.32,0.38,0
"47",0.65,0.61,0.54,0.43,0.39,0.36,0.26,0.2,0.15,0.11,0.06,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.04
"48",0.66,0.61,0.53,0.51,0.42,0.39,0.39,0.42,0.42,0.48,0.58,0.66,0.75,0.87,0.97,0.98,0.99,0.96,0.69
"49",0.85,0.87,0.89,0.87,0.8,0.75,0.68,0.55,0.38,0.25,0.2,0.12,0.09,0.04,0.05,0.03,0.02,0.02,0.22
"50",0,0,0,0,0,0.01,0.02,0.03,0.06,0.11,0.25,0.41,0.64,0.68,0.77,0.8,0.84,0.81,0.04
"51",0.47,0.48,0.5,0.54,0.59,0.61,0.66,0.69,0.71,0.73,0.67,0.55,0.45,0.35,0.27,0.2,0.15,0.16,0.56
"52",0.64,0.64,0.6,0.57,0.57,0.51,0.41,0.32,0.19,0.09,0.05,0.05,0.02,0.02,0.01,0.01,0.01,0,0.06
"53",0.43,0.44,0.46,0.57,0.62,0.74,0.85,0.94,0.97,0.99,0.91,0.74,0.71,0.63,0.54,0.47,0.42,0.4,0.76
"54",0.55,0.6,0.62,0.74,0.82,0.91,0.96,0.98,0.94,0.88,0.8,0.61,0.52,0.48,0.42,0.4,0.32,0.3,0.82
"55",0.09,0.07,0.08,0.06,0.06,0.11,0.12,0.16,0.19,0.22,0.3,0.37,0.56,0.67,0.76,0.82,0.88,0.9,0.24
"56",0.39,0.29,0.28,0.31,0.36,0.4,0.39,0.45,0.48,0.54,0.6,0.58,0.52,0.48,0.42,0.39,0.3,0.29,0.46
"57",0.39,0.37,0.39,0.34,0.34,0.34,0.36,0.41,0.51,0.64,0.7,0.81,0.86,0.9,0.9,0.84,0.8,0.79,0.6
"58",0.1,0.1,0.08,0.05,0.05,0.07,0.05,0.05,0.06,0.07,0.08,0.11,0.13,0.13,0.16,0.17,0.21,0.25,0.05
"59",0.42,0.43,0.4,0.4,0.41,0.36,0.33,0.3,0.25,0.24,0.18,0.18,0.14,0.14,0.1,0.08,0.07,0.05,0.18
"60",0.01,0,0,0,0,0,0,0,0,0.01,0.01,0.06,0.18,0.28,0.39,0.53,0.67,0.8,0.01
"61",0.63,0.55,0.48,0.36,0.27,0.17,0.07,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
"62",0.01,0,0,0.01,0.01,0.02,0.04,0.09,0.16,0.26,0.39,0.37,0.38,0.43,0.41,0.38,0.37,0.37,0.08
"63",0.34,0.42,0.49,0.51,0.56,0.55,0.48,0.39,0.29,0.28,0.26,0.28,0.31,0.41,0.49,0.55,0.66,0.73,0.41
"64",0.67,0.68,0.67,0.68,0.7,0.72,0.73,0.82,0.9,0.94,0.98,1,1,1,0.99,0.97,0.95,0.94,0.97
"65",0.36,0.35,0.38,0.42,0.41,0.44,0.51,0.57,0.59,0.63,0.63,0.68,0.75,0.77,0.8,0.81,0.78,0.76,0.69
