"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.69,0.74,0.86,0.93,0.97,1,1,0.99,0.96,0.93,0.88,0.86,0.83,0.82,0.79,0.83,0.82,0.8,0.97
"2",0.32,0.4,0.55,0.68,0.88,0.98,0.97,0.9,0.69,0.52,0.41,0.38,0.37,0.38,0.41,0.48,0.56,0.66,0.6
"3",0.67,0.8,0.89,0.93,0.95,0.88,0.79,0.67,0.59,0.54,0.57,0.62,0.68,0.72,0.77,0.86,0.9,0.92,0.86
"4",0.6,0.75,0.85,0.92,0.88,0.68,0.49,0.36,0.23,0.18,0.13,0.15,0.14,0.15,0.16,0.19,0.24,0.3,0.29
"5",0.83,0.72,0.67,0.58,0.53,0.47,0.44,0.41,0.45,0.48,0.45,0.49,0.51,0.53,0.55,0.58,0.56,0.56,0.59
"6",0.28,0.27,0.32,0.35,0.39,0.52,0.67,0.78,0.9,0.95,0.98,0.94,0.82,0.72,0.65,0.57,0.57,0.52,0.68
"7",0.37,0.32,0.3,0.27,0.27,0.31,0.33,0.38,0.41,0.51,0.54,0.53,0.49,0.46,0.43,0.42,0.39,0.36,0.4
"8",0.95,0.95,0.93,0.93,0.91,0.87,0.89,0.9,0.91,0.89,0.9,0.92,0.94,0.92,0.91,0.92,0.93,0.93,0.99
"9",0.65,0.67,0.76,0.78,0.81,0.85,0.85,0.82,0.73,0.68,0.6,0.48,0.46,0.46,0.48,0.51,0.52,0.55,0.8
"10",0.2,0.12,0.09,0.06,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0,0,0.01,0.03,0.07,0
"11",0.9,0.89,0.81,0.74,0.68,0.59,0.46,0.35,0.26,0.17,0.12,0.08,0.07,0.06,0.07,0.09,0.11,0.14,0.28
"12",0.44,0.51,0.56,0.7,0.79,0.87,0.95,1,1,1,1,0.97,0.97,0.89,0.85,0.82,0.82,0.78,0.94
"13",0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.05,0.1,0.14,0.26,0.34,0.37,0.36,0.34,0.3,0.26,0.22,0.05
"14",0.98,0.96,0.95,0.91,0.87,0.73,0.64,0.49,0.38,0.24,0.18,0.17,0.14,0.12,0.16,0.19,0.19,0.21,0.36
"15",0.48,0.4,0.32,0.28,0.22,0.17,0.08,0.06,0.03,0.03,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.06,0.01
"16",0.07,0.05,0.05,0.05,0.03,0.03,0.03,0.05,0.05,0.12,0.15,0.16,0.18,0.19,0.22,0.25,0.24,0.24,0.05
"17",0.17,0.14,0.11,0.08,0.05,0.06,0.06,0.11,0.16,0.2,0.27,0.39,0.48,0.52,0.61,0.69,0.75,0.79,0.23
"18",0.98,1,1,0.99,0.96,0.94,0.86,0.77,0.68,0.65,0.61,0.6,0.66,0.72,0.77,0.82,0.88,0.95,0.93
"19",0.38,0.35,0.31,0.28,0.26,0.22,0.23,0.25,0.23,0.19,0.18,0.19,0.15,0.15,0.13,0.09,0.09,0.11,0.18
