"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.16,0.16,0.17,0.17,0.21,0.21,0.2,0.24,0.28,0.3,0.34,0.44,0.53,0.57,0.66,0.71,0.76,0.88,0.32
"2",0.48,0.46,0.4,0.37,0.3,0.31,0.33,0.4,0.48,0.58,0.7,0.86,0.95,0.99,0.97,0.95,0.9,0.7,0.68
"3",0.89,0.83,0.78,0.71,0.62,0.56,0.52,0.51,0.49,0.48,0.51,0.5,0.52,0.54,0.47,0.49,0.44,0.42,0.61
"4",0.95,0.95,0.95,0.93,0.91,0.91,0.9,0.88,0.89,0.94,0.98,0.99,1,0.99,0.97,0.94,0.93,0.92,0.99
"5",0.74,0.73,0.76,0.79,0.87,0.94,0.98,0.99,0.95,0.81,0.74,0.6,0.49,0.44,0.4,0.3,0.28,0.28,0.77
"6",0.39,0.39,0.36,0.39,0.4,0.36,0.39,0.37,0.41,0.44,0.42,0.41,0.4,0.37,0.36,0.35,0.34,0.35,0.41
"7",0.45,0.46,0.46,0.45,0.45,0.45,0.47,0.45,0.48,0.52,0.51,0.48,0.42,0.39,0.38,0.36,0.32,0.3,0.45
"8",0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0.03,0.05,0.07,0.08,0
"9",0.34,0.31,0.28,0.28,0.27,0.28,0.3,0.35,0.42,0.6,0.71,0.83,0.89,0.88,0.89,0.84,0.82,0.78,0.52
"10",0.7,0.61,0.54,0.42,0.34,0.24,0.2,0.16,0.09,0.06,0.06,0.06,0.03,0.05,0.09,0.09,0.13,0.17,0.12
"11",0.77,0.77,0.73,0.7,0.63,0.53,0.46,0.42,0.34,0.27,0.23,0.24,0.24,0.23,0.2,0.16,0.17,0.17,0.34
"12",0.11,0.11,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.08,0.1,0.16,0.2,0.22,0.22,0.21,0.03
"13",0.72,0.74,0.77,0.74,0.61,0.55,0.47,0.3,0.19,0.13,0.1,0.09,0.09,0.09,0.1,0.12,0.13,0.14,0.19
"14",0.86,0.87,0.91,0.92,0.93,0.9,0.8,0.73,0.67,0.58,0.49,0.39,0.31,0.23,0.22,0.22,0.22,0.23,0.54
"15",0.95,0.95,0.97,0.97,0.95,0.95,0.92,0.88,0.76,0.61,0.44,0.34,0.26,0.13,0.1,0.11,0.11,0.13,0.54
"16",1,1,0.98,0.93,0.87,0.79,0.7,0.63,0.52,0.53,0.54,0.53,0.53,0.59,0.6,0.65,0.7,0.71,0.79
