"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.39,0.32,0.26,0.21,0.2,0.16,0.16,0.12,0.12,0.15,0.18,0.22,0.29,0.33,0.36,0.41,0.46,0.47,0.19
"2",0.67,0.68,0.74,0.82,0.88,0.92,0.93,0.89,0.88,0.86,0.86,0.87,0.86,0.87,0.91,0.92,0.92,0.92,0.96
"3",0.49,0.54,0.57,0.62,0.64,0.66,0.69,0.67,0.66,0.61,0.51,0.46,0.39,0.35,0.3,0.27,0.22,0.22,0.56
"4",0.55,0.54,0.58,0.57,0.58,0.61,0.59,0.54,0.49,0.37,0.32,0.31,0.29,0.25,0.23,0.25,0.26,0.28,0.39
"5",0.51,0.48,0.39,0.34,0.27,0.24,0.22,0.17,0.15,0.16,0.11,0.13,0.14,0.16,0.19,0.22,0.27,0.27,0.16
"6",0.37,0.34,0.28,0.24,0.21,0.19,0.2,0.19,0.2,0.22,0.26,0.33,0.37,0.4,0.4,0.42,0.41,0.4,0.24
"7",0.14,0.12,0.07,0.03,0.03,0.02,0.01,0,0,0,0.01,0.01,0.01,0.04,0.04,0.05,0.1,0.14,0
"8",0.09,0.07,0.04,0.02,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.09,0.1,0
"9",0.41,0.4,0.43,0.5,0.54,0.6,0.66,0.74,0.81,0.82,0.78,0.71,0.67,0.65,0.63,0.61,0.65,0.67,0.77
"10",0.58,0.45,0.38,0.29,0.2,0.12,0.08,0.08,0.06,0.06,0.08,0.11,0.11,0.12,0.17,0.16,0.19,0.22,0.1
"11",1,0.97,0.94,0.87,0.78,0.7,0.64,0.53,0.44,0.44,0.42,0.41,0.46,0.5,0.57,0.61,0.72,0.85,0.7
"12",0.53,0.56,0.58,0.65,0.68,0.66,0.63,0.58,0.5,0.36,0.29,0.2,0.12,0.08,0.06,0.04,0.03,0.03,0.24
"13",0.35,0.36,0.33,0.33,0.41,0.48,0.62,0.74,0.85,0.96,1,0.98,0.82,0.7,0.54,0.42,0.35,0.31,0.69
"14",0.65,0.6,0.58,0.56,0.5,0.5,0.5,0.53,0.59,0.63,0.68,0.73,0.8,0.86,0.91,0.87,0.87,0.84,0.77
"15",0.19,0.17,0.15,0.13,0.11,0.09,0.09,0.1,0.11,0.13,0.16,0.19,0.21,0.22,0.23,0.25,0.25,0.27,0.1
"16",0.2,0.2,0.2,0.2,0.2,0.24,0.31,0.38,0.4,0.41,0.35,0.31,0.28,0.25,0.22,0.18,0.17,0.17,0.26
"17",0.28,0.25,0.22,0.23,0.16,0.12,0.09,0.04,0.03,0.01,0.01,0,0,0,0,0,0,0,0.01
"18",0.78,0.7,0.63,0.56,0.5,0.44,0.32,0.25,0.25,0.25,0.23,0.28,0.33,0.41,0.45,0.55,0.6,0.64,0.45
"19",0.24,0.2,0.14,0.12,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.06,0.07,0.09,0.11,0.12,0.05
"20",0.14,0.13,0.09,0.06,0.06,0.04,0.01,0,0,0,0,0,0.01,0.03,0.07,0.13,0.15,0.25,0
"21",0.1,0.08,0.07,0.08,0.12,0.16,0.23,0.41,0.61,0.88,0.98,0.94,0.84,0.74,0.58,0.49,0.44,0.41,0.34
"22",0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.05,0.12,0.19,0.22,0
"23",0.33,0.29,0.28,0.23,0.16,0.15,0.1,0.08,0.06,0.06,0.04,0.06,0.07,0.09,0.13,0.15,0.24,0.3,0.12
"24",0.63,0.63,0.61,0.53,0.44,0.37,0.39,0.34,0.32,0.27,0.24,0.22,0.27,0.29,0.28,0.32,0.33,0.35,0.33
"25",0.66,0.68,0.68,0.67,0.68,0.68,0.72,0.72,0.75,0.85,0.91,0.97,1,0.95,0.91,0.87,0.84,0.78,0.93
"26",0.25,0.3,0.4,0.5,0.56,0.71,0.77,0.76,0.65,0.54,0.45,0.36,0.3,0.27,0.21,0.18,0.17,0.16,0.41
"27",0.32,0.27,0.23,0.21,0.21,0.17,0.16,0.12,0.1,0.1,0.07,0.07,0.11,0.15,0.25,0.36,0.41,0.51,0.14
"28",0.35,0.31,0.32,0.32,0.39,0.49,0.63,0.83,0.9,0.95,0.8,0.63,0.43,0.29,0.22,0.18,0.13,0.12,0.45
"29",0.67,0.67,0.65,0.63,0.61,0.6,0.61,0.58,0.51,0.47,0.4,0.4,0.34,0.33,0.28,0.25,0.26,0.28,0.53
"30",0.1,0.1,0.11,0.17,0.26,0.37,0.46,0.63,0.77,0.87,0.95,0.97,0.99,0.94,0.89,0.83,0.76,0.69,0.62
"31",0.87,0.94,0.96,1,1,0.98,0.9,0.86,0.84,0.76,0.74,0.72,0.68,0.65,0.66,0.65,0.66,0.67,0.88
"32",0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.03,0.09,0.15,0.28,0.34,0.43,0.42,0.48,0.52,0.55,0.53,0.04
"33",0.49,0.35,0.24,0.17,0.14,0.11,0.08,0.05,0.04,0.02,0.03,0.05,0.05,0.05,0.06,0.08,0.08,0.08,0.04
"34",0.29,0.28,0.29,0.27,0.27,0.27,0.25,0.2,0.16,0.12,0.11,0.11,0.1,0.09,0.1,0.12,0.16,0.19,0.12
"35",0.55,0.61,0.58,0.56,0.55,0.46,0.37,0.33,0.28,0.17,0.08,0.05,0.02,0.01,0,0,0,0,0.07
"36",0.2,0.13,0.11,0.09,0.06,0.06,0.03,0.03,0.03,0.06,0.09,0.13,0.18,0.21,0.25,0.3,0.34,0.33,0.06
"37",0.61,0.49,0.45,0.39,0.31,0.26,0.24,0.22,0.25,0.29,0.35,0.45,0.52,0.62,0.66,0.75,0.77,0.81,0.49
"38",0.28,0.23,0.2,0.15,0.11,0.08,0.08,0.1,0.11,0.13,0.19,0.27,0.38,0.5,0.61,0.64,0.66,0.65,0.16
"39",0.29,0.29,0.3,0.28,0.3,0.34,0.43,0.48,0.56,0.6,0.64,0.7,0.81,0.87,0.88,0.89,0.91,0.93,0.6
"40",0.83,0.77,0.72,0.65,0.6,0.54,0.51,0.47,0.47,0.4,0.32,0.25,0.19,0.18,0.15,0.12,0.12,0.12,0.39
"41",0.09,0.06,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.05,0.07,0.07,0.07,0.12,0.11,0.12,0.14,0.12,0.03
"42",0.08,0.06,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.06,0.06,0
"43",0.07,0.05,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.05,0.13,0.19,0.31,0.44,0.63,0.82,0.91,0.97,0.06
"44",0.89,0.92,0.94,0.99,1,0.98,0.91,0.78,0.62,0.45,0.29,0.2,0.11,0.06,0.04,0.02,0.02,0.02,0.3
"45",0.54,0.46,0.4,0.34,0.3,0.34,0.36,0.32,0.37,0.43,0.5,0.6,0.66,0.72,0.74,0.68,0.64,0.58,0.53
"46",0.95,0.97,0.95,0.95,0.89,0.83,0.8,0.7,0.63,0.6,0.58,0.51,0.45,0.45,0.44,0.48,0.46,0.48,0.83
"47",0.09,0.11,0.18,0.26,0.38,0.52,0.72,0.89,0.98,0.93,0.87,0.77,0.63,0.52,0.41,0.36,0.34,0.34,0.55
"48",0.03,0.02,0.02,0.04,0.06,0.12,0.2,0.27,0.44,0.54,0.7,0.82,0.9,0.98,1,1,1,0.97,0.32
"49",0.1,0.22,0.24,0.33,0.48,0.71,0.89,0.96,0.99,0.87,0.77,0.71,0.59,0.57,0.44,0.34,0.31,0.27,0.64
