"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",0.26,0.23,0.21,0.18,0.12,0.1,0.07,0.04,0.03,0.04,0.06,0.07,0.09,0.17,0.21,0.25,0.33,0.42,0.06
"2",0.37,0.29,0.26,0.25,0.22,0.18,0.21,0.22,0.23,0.25,0.3,0.32,0.36,0.38,0.33,0.28,0.24,0.22,0.21
"3",0.13,0.2,0.26,0.33,0.39,0.46,0.57,0.68,0.73,0.72,0.67,0.6,0.49,0.42,0.39,0.34,0.3,0.29,0.44
"4",0.28,0.28,0.32,0.34,0.39,0.4,0.39,0.39,0.32,0.25,0.2,0.14,0.12,0.11,0.11,0.12,0.11,0.12,0.17
"5",0.92,0.92,0.9,0.86,0.78,0.58,0.47,0.31,0.23,0.15,0.1,0.06,0.04,0.02,0.02,0.01,0.01,0,0.12
"6",0.02,0.02,0.02,0.02,0.06,0.07,0.11,0.17,0.28,0.38,0.52,0.72,0.84,0.92,0.98,0.99,0.95,0.88,0.24
"7",0.53,0.46,0.4,0.34,0.3,0.24,0.21,0.16,0.13,0.12,0.08,0.08,0.07,0.08,0.07,0.08,0.09,0.11,0.13
"8",0.1,0.08,0.06,0.04,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.06,0.07,0.13,0.18,0.29,0.35,0.46,0.01
"9",0.31,0.34,0.43,0.5,0.61,0.76,0.9,0.94,0.93,0.89,0.73,0.61,0.34,0.27,0.24,0.21,0.2,0.21,0.53
"10",0.2,0.2,0.19,0.24,0.27,0.42,0.55,0.71,0.89,0.97,1,0.96,0.88,0.76,0.75,0.68,0.62,0.58,0.68
"11",0.23,0.24,0.22,0.27,0.29,0.31,0.41,0.57,0.75,0.88,0.91,0.88,0.78,0.63,0.55,0.45,0.32,0.28,0.49
"12",0.24,0.21,0.21,0.22,0.24,0.26,0.29,0.37,0.46,0.56,0.62,0.68,0.7,0.64,0.55,0.49,0.42,0.38,0.45
"13",0.08,0.06,0.05,0.08,0.09,0.12,0.18,0.27,0.38,0.49,0.64,0.81,0.92,0.95,0.99,1,1,1,0.33
"14",0.13,0.17,0.24,0.3,0.39,0.52,0.65,0.77,0.88,0.87,0.8,0.73,0.64,0.56,0.47,0.44,0.4,0.44,0.55
"15",0.85,0.79,0.69,0.6,0.54,0.46,0.33,0.25,0.24,0.19,0.17,0.12,0.12,0.12,0.11,0.08,0.07,0.05,0.19
"16",0.79,0.74,0.68,0.65,0.61,0.6,0.58,0.57,0.59,0.6,0.62,0.68,0.72,0.75,0.81,0.81,0.83,0.81,0.79
"17",0.31,0.31,0.3,0.35,0.35,0.35,0.32,0.37,0.39,0.46,0.48,0.47,0.53,0.59,0.63,0.63,0.67,0.73,0.45
"18",0.05,0.03,0.01,0.01,0,0,0,0,0.02,0.06,0.24,0.4,0.58,0.75,0.88,0.97,1,1,0.08
"19",0.56,0.51,0.46,0.42,0.37,0.34,0.3,0.27,0.21,0.18,0.14,0.1,0.08,0.06,0.05,0.05,0.06,0.05,0.14
"20",0.55,0.44,0.36,0.31,0.21,0.16,0.1,0.06,0.06,0.07,0.07,0.07,0.11,0.16,0.2,0.25,0.31,0.4,0.1
"21",0.97,1,1,1,0.99,0.94,0.86,0.77,0.65,0.47,0.36,0.3,0.25,0.21,0.16,0.16,0.17,0.17,0.52
"22",0.36,0.33,0.28,0.26,0.24,0.26,0.28,0.39,0.44,0.54,0.65,0.74,0.81,0.81,0.83,0.76,0.76,0.74,0.55
"23",0.36,0.28,0.19,0.13,0.05,0.02,0.01,0.01,0,0,0.01,0.01,0.01,0.02,0.03,0.04,0.07,0.09,0.01
"24",0.96,0.95,0.93,0.87,0.84,0.72,0.59,0.48,0.33,0.22,0.17,0.19,0.23,0.26,0.3,0.39,0.49,0.54,0.5
"25",0.91,0.86,0.76,0.66,0.49,0.39,0.26,0.21,0.11,0.1,0.07,0.07,0.06,0.06,0.06,0.07,0.08,0.09,0.15
"26",0.52,0.5,0.5,0.52,0.5,0.52,0.53,0.53,0.51,0.56,0.69,0.74,0.73,0.8,0.87,0.9,0.91,0.94,0.75
"27",0.54,0.52,0.5,0.44,0.39,0.33,0.24,0.16,0.12,0.08,0.05,0.04,0.03,0.03,0.04,0.05,0.06,0.07,0.08
"28",0.12,0.1,0.07,0.06,0.04,0.04,0.07,0.09,0.14,0.22,0.3,0.37,0.49,0.65,0.78,0.87,0.95,0.97,0.19
"29",0.14,0.17,0.22,0.25,0.36,0.46,0.54,0.61,0.7,0.82,0.87,0.92,0.95,0.98,0.98,0.99,0.99,1,0.75
"30",0.63,0.61,0.55,0.51,0.44,0.39,0.37,0.31,0.25,0.19,0.16,0.13,0.11,0.11,0.12,0.12,0.14,0.15,0.16
"31",0.92,0.88,0.86,0.84,0.75,0.68,0.56,0.41,0.32,0.22,0.1,0.08,0.03,0.02,0.01,0.01,0.01,0.01,0.17
