"","Gene","Bd.10.1","Bd.10.2","Bd.10.3","Bd.14.1","Bd.14.2","Bd.14.3","Bd.18.1","Bd.18.2","Bd.18.3","Bd.22.1","Bd.22.2","Bd.22.3","Bd.2.1","Bd.2.2","Bd.2.3","Bd.6.1","Bd.6.2","Bd.6.3"
"87","Bradi1g01660.v3.1",99.50366311,93.45808582,87.64629497,126.9309272,142.0668771,128.6830211,117.6980489,116.6935671,143.0156054,71.71774763,75.31202351,101.2129363,57.98223322,60.795746,59.85443763,47.19645049,43.54761004,46.20838153
"143","Bradi1g02570.v3.1",31.77235122,27.41324719,22.34956846,53.3206841,43.10303585,53.55086495,22.64137805,32.93932015,34.28456293,19.61691332,18.77007355,14.77719735,18.08315714,14.64957735,18.99662252,8.881052511,5.941604032,9.363477641
"153","Bradi1g02680.v3.1",50.46871674,68.91268602,58.43086331,39.74814633,43.55867048,37.41976423,39.0842149,32.47067128,45.43646471,46.35286777,65.05800184,40.9632603,48.94065465,59.91677136,54.50221461,91.8554574,103.6157776,64.0218268
"162","Bradi1g02800.v3.1",68.76362655,62.5022036,60.13549142,86.28256154,83.0166293,62.14680297,61.94829504,69.36003186,65.02764353,47.30207325,58.74337834,48.40618691,48.69180386,50.10155453,43.11931779,35.01672133,32.75128076,30.45033379
"181","Bradi1g03110.v3.1",8.7173238,9.700072084,13.06881546,8.309717002,9.29494642,13.4242947,18.74409167,19.01375391,21.62564738,18.82590875,16.39484819,33.73764542,11.77893722,15.60179988,28.79646747,10.91100737,11.73829089,17.4328161
"187","Bradi1g03180.v3.1",537.0330267,548.3492923,513.0930591,643.0336007,728.5597708,601.5327691,694.8304872,735.510917,603.1822555,640.1863649,762.5052718,589.9470074,662.357843,666.2627778,484.7907914,519.2455368,583.0742395,472.7414321
"190","Bradi1g03220.v3.1",234.6795328,215.1729034,235.9962907,271.8662413,271.1937308,269.9490323,300.4251049,283.5995125,245.6432421,276.746132,298.1776808,250.4517639,227.2837182,250.7275163,220.4965114,214.7523079,242.5188865,252.3571413
"191","Bradi1g03250.v3.1",147.1048391,151.6585183,169.3263916,193.1316727,217.064337,213.0695275,187.3295656,193.0163821,223.3394385,138.5840006,145.989461,169.2858344,129.0706078,141.4416693,150.0883946,124.0809908,164.770824,107.2613008
"213","Bradi1g03560.v3.1",15.37001828,20.74971941,13.11616624,22.71322647,27.42920463,25.82439252,24.4601117,30.59607583,23.66011595,18.35130601,23.11499798,23.08937086,14.76514666,18.45846746,13.04133213,12.68721787,12.46287675,8.221590124
"290","Bradi1g04700.v3.1",1457.398897,1619.068554,1745.965335,1287.452154,1579.229622,1622.437578,1032.855126,900.2075177,1690.266628,931.1178455,798.5391785,913.1981995,646.2654921,869.0129283,1464.775287,1225.077758,1091.081384,1579.53494
"331","Bradi1g05240.v3.1",123.4763036,107.9660197,123.4434851,140.9881985,138.7863078,123.4523014,180.5000352,163.4915037,154.694962,169.0113097,186.2524274,147.391678,151.7160294,157.6294523,119.482725,139.9823039,147.1633877,135.8084887
"417","Bradi1g06670.v3.1",97.61108623,115.3886836,76.28210762,63.36159214,70.80562126,51.6853635,34.03630111,24.30279109,39.93586451,34.32959832,31.34138824,17.2762822,71.50312594,82.84335991,79.07721042,72.57088624,61.80717365,63.48894596
"420","Bradi1g06695.v3.1",363.4321113,411.7047986,329.6087841,89.60644834,115.9134495,106.1872684,27.50370678,28.5875807,47.32023191,104.5708041,106.3058178,66.82335566,70.59067306,135.3620947,165.9942968,576.7609245,483.3712256,685.3608878
"433","Bradi1g06890.v3.1",1071.313214,1090.288102,1402.009264,792.1237732,1204.515704,1191.287274,575.8704598,511.095061,1189.410606,620.0948488,401.1234237,768.9032136,454.3185856,528.2637592,1292.524166,863.9995372,763.5685767,1463.899797
"439","Bradi1g06980.v3.1",5.39097656,6.66352778,5.682093677,5.816801902,6.287757872,5.633082788,8.239976931,6.561084095,3.918235763,8.490115712,12.16578841,4.128922789,14.93104718,17.28650127,15.67975192,11.33391463,12.31795958,7.764835117
