"","Gene","Bh.10.1","Bh.10.2","Bh.10.3","Bh.14.1","Bh.14.2","Bh.14.3","Bh.18.1","Bh.18.2","Bh.18.3","Bh.22.1","Bh.22.2","Bh.22.3","Bh.2.1","Bh.2.2","Bh.2.3","Bh.6.1","Bh.6.2","Bh.6.3"
"8","Bradi1g00480.v3.1",72.05227956,82.79145019,80.93460708,76.69814427,95.67607271,81.6515316,88.0465439,106.8922975,105.1383937,101.7975357,95.56605923,105.4779162,102.5015681,107.0197664,110.004423,95.37534006,97.74775943,86.16437092
"70","Bradi1g01374.v3.1",7.270784207,4.625220681,9.615068661,6.335131404,7.806901766,6.94692439,13.91054986,10.66890802,16.35486124,9.3966956,12.22646711,17.1345982,11.72657498,12.25481247,7.850938073,6.019745329,8.198609211,8.257766429
"74","Bradi1g01460.v3.1",2.264670491,5.087742749,2.987205798,3.813380068,4.650920201,3.825842418,5.708953988,7.315822641,8.060610181,4.802755529,7.818285089,9.494495974,7.770621977,8.561581314,9.85931758,5.643511246,4.957298593,5.838824748
"87","Bradi1g01660.v3.1",6.138448962,7.169092055,5.227610146,21.15810877,18.7697851,19.12921209,19.53909604,30.78742028,23.48090792,15.97438252,12.30964035,17.95053145,11.16143884,11.16363054,10.49834742,6.866272016,5.402184364,4.921295145
"92","Bradi1g01740.v3.1",55.06725088,53.19003783,49.19554548,41.33211945,48.33634923,47.82303022,55.15975261,57.10406006,67.7558537,63.16667598,74.1905351,63.42026608,51.56867312,55.23059318,68.37619322,47.78172855,47.60277751,53.46695234
"93","Bradi1g01750.v3.1",56.97434182,58.97156368,56.57020979,71.34711095,55.81104241,59.80395779,58.21524911,62.18449245,57.82611652,48.4451862,47.49192325,51.77467336,32.14211818,53.55185175,47.47078835,43.64315364,46.33167531,41.0385968
"96","Bradi1g01800.v3.1",197.0859293,265.7189281,255.4994459,230.155939,233.625688,198.6417655,140.6332468,154.343536,196.7256166,140.0107644,143.6401952,145.8295241,126.7317802,123.5553696,121.5982502,249.1610215,278.8162683,253.9888765
"143","Bradi1g02570.v3.1",17.04462527,16.07264187,16.24293152,42.00868688,40.36334317,43.39310742,32.80638348,33.22602783,37.61618085,19.83746849,22.29042983,21.21426444,18.79077678,20.14489721,16.24961601,7.33656462,5.974180355,6.005648312
"145","Bradi1g02590.v3.1",75.98565462,104.0674653,94.00363244,58.73835428,62.45521413,71.48284517,59.34095835,50.19467201,47.07863628,84.46585267,88.57950659,69.05762306,150.5381403,205.8976369,149.8068532,105.2514847,103.277054,102.4296684
"158","Bradi1g02740.v3.1",13.76681272,10.8692686,13.34907591,10.76357277,13.12223914,14.79996935,15.2774825,12.19303773,20.09311523,21.92562307,23.78754825,18.69228895,21.33388943,19.55733771,21.90959462,14.9553048,11.18569939,11.76106128
"160","Bradi1g02770.v3.1",295.4799024,312.0867654,291.8126664,340.6824548,323.820319,332.6469302,247.7364399,345.8758371,352.4472597,220.6135311,252.92984,246.9310711,177.6646752,219.2436313,192.8957227,299.2001546,324.5759476,321.6358318
"189","Bradi1g03207.v3.1",4.231358022,3.12202396,7.561364675,3.259824897,6.062806691,3.020401909,1.608156053,2.946650786,2.219588311,1.670523662,2.162504386,1.631866496,2.401828611,3.693231155,2.099669485,4.796984559,7.69016833,3.253059502
"204","Bradi1g03440.v3.1",41.30043816,44.8646406,42.10093171,48.71285506,48.66855782,56.28015557,62.15523144,55.78314764,51.16735158,59.51240547,58.63713817,62.38180558,57.85581272,49.94255766,61.71202485,44.20750476,45.44190377,44.20824452
"216","Bradi1g03610.v3.1",86.17667183,102.3330076,103.2453004,75.59103393,80.47752991,74.60392715,75.9049657,67.56975078,65.41944495,71.2060711,67.95254168,82.85431252,82.1566669,79.15265862,77.413901,120.5830236,105.8192584,105.0988455
