"","Gene","Bs.10.1","Bs.10.2","Bs.10.3","Bs.14.1","Bs.14.2","Bs.14.3","Bs.18.1","Bs.18.2","Bs.18.3","Bs.22.1","Bs.22.2","Bs.22.3","Bs.2.1","Bs.2.2","Bs.2.3","Bs.6.1","Bs.6.2","Bs.6.3"
"8","Bradi1g00480.v3.1",93.0729288,115.9695551,105.7780753,91.76445573,118.9770858,114.0625354,107.8657189,123.7375837,111.9016994,113.6959283,117.5111658,129.8634145,127.2464253,140.9352995,127.9530881,116.7022229,110.8537877,112.4557602
"41","Bradi1g00980.v3.1",58.66816999,50.74380729,64.09213427,63.35750593,60.25402045,60.58167758,60.83742425,51.74480773,56.15549801,57.47769991,56.03914329,59.47139143,94.25661133,103.9835421,136.9475229,88.61778551,112.9397461,113.45685
"80","Bradi1g01560.v3.1",88.14442341,98.86490094,113.0731149,92.76524258,97.10629793,110.8267188,113.8528939,102.0835066,114.3574792,123.7717004,114.3922907,118.0217657,123.3382243,103.4649209,110.7379334,108.1630359,101.7153034,94.18587035
"87","Bradi1g01660.v3.1",14.69073723,17.78884031,17.97706205,21.86334348,35.32132233,23.90908937,31.28781818,34.02783552,37.73714954,25.07493283,31.08814233,28.68310472,17.24206305,12.05794191,27.66030476,14.32685826,14.4030459,17.31051204
"164","Bradi1g02810.v3.1",71.65288612,71.15536123,55.6246775,78.9081939,71.73618406,77.83936615,84.88269193,76.39858388,81.53188924,88.8499903,92.05712049,98.28568451,122.5335947,110.5959618,142.2668123,79.41443948,86.61693808,94.14415827
"189","Bradi1g03207.v3.1",19.14534788,15.73628181,23.8391475,17.55226167,23.40174297,13.03315022,15.45077441,18.09193459,16.61744329,9.503285045,11.16758511,10.92063161,7.701454828,11.66897604,7.640433834,8.444307185,13.80705779,15.22490818
"238","Bradi1g03910.v3.1",16.20720043,15.05209565,16.93491353,18.47606491,18.15275389,14.38140714,16.99585185,20.06048706,13.2612109,12.82370994,10.66454073,8.94702349,8.506084437,5.704832732,12.66958015,11.38558272,10.72778591,13.80669756
"290","Bradi1g04700.v3.1",990.9139212,932.4317128,851.044539,768.9122348,911.0276668,783.2473864,574.2859714,667.9017302,540.8445705,650.4597873,664.9240539,541.426495,641.6346395,496.9687242,534.9270827,595.655736,749.4550434,806.6698613
"306","Bradi1g04860.v3.1",138.6616037,124.4078511,169.4794038,170.0567808,178.3562747,171.0488612,206.6541078,199.8549458,188.4401697,170.7156386,165.5015991,207.8867223,149.8910014,176.7201594,190.8174171,127.9929258,128.6340996,120.8815998
"421","Bradi1g06700.v3.1",42.3661906,54.84892428,50.15339775,67.36065333,61.01949803,75.59227129,67.50057071,64.49352848,86.19787086,61.37061186,63.28298228,80.78635916,57.58849058,74.4221361,52.61260766,31.12059277,27.71344693,34.57931201
"433","Bradi1g06890.v3.1",1035.839143,897.1961253,924.6462785,662.9827959,807.9069022,621.7262075,416.9777744,490.1695645,387.7676299,456.8446666,460.4868202,353.5390017,375.6470803,251.6609167,285.3073394,461.1161002,672.9699031,728.5848527
"469","Bradi1g07441.v3.1",59.33162264,54.05070709,58.75112308,49.11553923,49.53733442,56.44702303,36.21275253,43.3081543,42.64870913,50.83685012,48.99652205,47.23502107,84.48610893,77.14489718,88.20348932,55.97911505,71.51857273,56.60328878
"513","Bradi1g08070.v3.1",139.7041722,183.0197993,133.134474,179.6027477,211.0531025,258.1462582,199.0252879,330.9042958,299.1139792,211.1332244,224.9614442,265.9108011,173.6850484,173.6084325,157.7411086,92.88737903,93.37146995,116.4184075
"515","Bradi1g08095.v3.1",11.27869504,17.10465414,9.639873853,13.78006508,17.16856844,20.13397,15.16107239,25.02873852,25.70382854,16.37312966,15.9968111,28.28838309,11.26481452,17.1144982,15.37758202,9.298225889,7.747845379,7.675022208
