"","Gene","Bd.10.1","Bd.10.2","Bd.10.3","Bd.14.1","Bd.14.2","Bd.14.3","Bd.18.1","Bd.18.2","Bd.18.3","Bd.22.1","Bd.22.2","Bd.22.3","Bd.2.1","Bd.2.2","Bd.2.3","Bd.6.1","Bd.6.2","Bd.6.3"
"3","Bradi1g00260.v3.1",13.82154629,11.13399578,15.24695137,15.64996702,12.7577696,13.57060853,11.61762513,14.79591413,13.63847448,11.49593308,15.69966028,15.75510012,12.02778801,22.78009278,13.34286582,10.57268156,14.56417574,14.69228606
"4","Bradi1g00266.v3.1",5.333625746,5.398300986,3.551308548,5.262820768,4.920853987,3.511532128,4.157105479,6.159385068,4.747093328,7.013573849,2.433157683,3.911611063,4.230463368,7.031797127,3.61840429,5.413212959,6.883565646,2.131523365
"5","Bradi1g00450.v3.1",56.54790307,43.27075634,42.3315979,62.18438223,46.4747321,42.32127783,60.38938048,56.97431188,44.9090099,51.36256338,63.78349068,42.21280272,94.89509985,85.6267796,55.02989857,47.87310211,56.22786254,31.97285048
"6","Bradi1g00460.v3.1",31.25619389,29.52195852,19.74527553,38.36319349,33.62583558,26.4828048,35.4096306,44.05299321,20.26933501,28.68709905,38.35119966,24.39324121,40.64562843,30.54436877,24.72576265,21.99117765,27.60672117,17.96569694
"7","Bradi1g00470.v3.1",50.58341837,61.23697681,40.76902213,48.12711097,54.03826693,42.06522861,56.38074306,49.74372941,46.26532228,46.03646594,52.71841645,39.98535754,57.23568086,73.02814308,62.49285742,48.21142792,42.46073125,33.72374468
"8","Bradi1g00480.v3.1",91.99070642,88.14413329,82.39035832,95.83873609,90.21565643,86.21542942,110.8685184,91.38652846,84.16671822,109.8441679,116.5598395,97.24699727,100.5357177,103.9387513,78.24799277,81.62110165,98.25384228,73.84205945
"9","Bradi1g00485.v3.1",4.301311085,2.446105134,3.835413232,6.093792468,5.103107838,3.365218289,5.56755198,4.485639126,2.863326135,3.902289209,4.576653736,3.314003818,4.147513106,6.006326713,2.035352413,3.637002457,3.333094945,1.903145862
"10","Bradi1g00497.v3.1",48.7481923,44.70468004,52.03850793,49.30432088,42.46514737,52.49008962,61.836944,58.44720831,45.88856884,52.41723614,46.69345457,61.60787425,74.57228564,57.49959109,67.69431359,47.78852066,54.63377366,45.98000403
"11","Bradi1g00510.v3.1",19.90073262,16.53229677,15.57840683,15.92695759,15.85608507,18.80132827,19.48643193,23.83414222,14.7687348,15.60915684,18.24868262,20.31864636,23.22607339,23.95205897,15.30283481,21.14536312,17.60743634,11.41887517
"12","Bradi1g00517.v3.1",49.5511037,46.13860374,45.03059239,60.03770534,65.61138649,55.37978793,58.68199787,54.76496724,57.191172,50.51882517,61.00273904,53.02406108,61.05139291,76.2510501,64.0759093,47.36561339,50.72101003,36.00751971
"13","Bradi1g00530.v3.1",36.01631149,29.85935233,25.61677233,32.47714395,33.17020095,30.2869646,32.58873759,27.98503216,37.37394113,35.33153744,28.73443358,34.98718784,31.68700013,40.65257714,49.1499916,27.31980915,33.40340803,26.7201679
"14","Bradi1g00540.v3.1",3.441048868,3.711331928,4.545674942,3.739372651,4.64747321,5.596504328,3.340531188,3.749190911,4.37033989,2.953083726,1.274511167,6.356367978,2.820308912,3.662394337,2.563036372,3.975328267,3.767846459,7.612583448
"15","Bradi1g00560.v3.1",443.6659008,425.2848996,316.0664608,408.4225907,437.1358625,301.6625568,460.1767297,386.3005635,340.0576538,387.6977063,421.5735347,282.6138993,459.9592034,544.0853027,404.5828296,372.7504611,421.1293004,332.5937709
"16","Bradi1g00567.v3.1",70.59885262,57.44129643,59.51993127,67.10096479,70.34998663,53.00218805,69.03764456,68.95833283,55.68415825,65.60064563,74.15337699,59.38042906,82.20370975,72.9548952,59.55290394,61.74446032,69.41532515,51.76556745
"17","Bradi1g00580.v3.1",105.6402003,101.5555373,103.9823143,110.2422456,102.1532837,98.03027189,116.7701235,122.919902,104.4360532,114.484728,124.6703651,100.1807056,112.1487544,132.7251708,91.13855805,112.9162391,127.164818,103.9878899
"18","Bradi1g00587.v3.1",5.505678189,5.060907174,5.8714968,3.600877368,5.649869392,5.37703357,3.488999241,2.61104367,6.103405708,2.109345519,1.795902099,4.943841761,3.815712057,6.445814033,3.467637444,1.69162905,3.043260602,3.349536717
"21","Bradi1g00690.v3.1",4.530714343,2.361756681,6.960564755,3.393134443,6.470011723,4.169944401,7.794572773,4.351739451,9.117433218,4.535092865,5.851164903,6.084728321,2.156706815,3.36940279,3.316870599,4.229072624,4.057680802,4.491424234
"22","Bradi1g00700.v3.1",18.18020819,20.2436287,21.02374661,16.06545287,16.58510047,17.4113468,17.92751738,15.39846267,19.74188019,13.71074587,11.93405911,15.75510012,14.93104718,16.5540224,23.74577815,12.09514771,8.984864633,19.56433946
