"","Gene","Bh.10.1","Bh.10.2","Bh.10.3","Bh.14.1","Bh.14.2","Bh.14.3","Bh.18.1","Bh.18.2","Bh.18.3","Bh.22.1","Bh.22.2","Bh.22.3","Bh.2.1","Bh.2.2","Bh.2.3","Bh.6.1","Bh.6.2","Bh.6.3"
"1","Bradi1g00222.v3.1",3.158619369,1.850088272,2.427104711,4.305429109,3.571242297,3.926522481,5.065691567,2.845042138,5.373740121,3.75867824,2.412024123,2.967029992,3.673384935,4.196853585,6.572878387,1.881170415,3.431975949,2.085294553
"2","Bradi1g00234.v3.1",2.026284123,4.047068096,4.200758153,4.182416849,3.405138004,3.926522481,3.296719908,1.524129717,5.140099246,4.6983478,3.493276316,4.598896487,6.075213546,5.623783804,3.834179059,2.257404498,2.287983966,2.001882771
"3","Bradi1g00260.v3.1",7.807153534,12.71935687,8.588216668,10.8250789,9.218788256,8.155085154,9.246897304,11.07534261,12.61660724,7.412948751,12.47598684,9.642847474,12.78620525,10.66000811,11.22866724,10.34643728,7.372392779,9.342119597
"4","Bradi1g00266.v3.1",3.635392104,3.700176545,1.026851993,3.444343287,1.661042929,6.040803818,4.342021343,2.133781604,4.672817496,0.93966956,2.328850878,4.079666239,4.803657222,4.784413087,4.92965879,4.702926038,4.575967932,1.751647424
"5","Bradi1g00450.v3.1",29.44071638,30.06393443,22.59074384,23.6798601,24.41733106,33.82850138,31.51985864,23.1667717,25.46685536,24.43140856,27.03130483,22.92030669,31.93019212,41.80066171,36.60728101,19.56417232,20.27408014,25.27376998
"6","Bradi1g00460.v3.1",21.51436966,31.68276166,20.72374022,25.58655013,29.98182487,34.53326182,21.54929111,24.38607547,27.8032641,31.42672639,26.6154386,25.96151243,19.85040705,34.74994769,32.13407211,25.77203469,27.64647292,30.94577116
"7","Bradi1g00470.v3.1",47.26009735,54.11508197,50.78249856,64.88896729,54.81441666,51.14547232,58.05443351,69.39870644,65.41944495,67.44739286,55.97559431,49.92027961,72.61999447,95.18463931,92.84190721,40.82139801,42.13703804,47.54471581
"8","Bradi1g00480.v3.1",72.05227956,82.79145019,80.93460708,76.69814427,95.67607271,81.6515316,88.0465439,106.8922975,105.1383937,101.7975357,95.56605923,105.4779162,102.5015681,107.0197664,110.004423,95.37534006,97.74775943,86.16437092
"9","Bradi1g00485.v3.1",3.694988695,3.931437579,6.34781232,3.690367808,3.239033712,4.832643054,5.46773058,5.283649685,3.855074434,3.445455053,5.655780703,2.373623993,3.673384935,2.93779751,5.659978611,2.257404498,4.448857711,3.586706631
"10","Bradi1g00497.v3.1",51.07427923,46.71472888,47.23519167,51.54213705,47.09056704,42.78902704,55.72260723,57.91692924,55.72334864,45.31295434,46.82653729,47.10160112,61.59983967,53.13216639,52.67431707,45.43026553,44.10724645,30.44530047
"11","Bradi1g00510.v3.1",19.0709094,11.90994325,19.79023841,20.17401068,18.27147222,15.80676999,20.34317407,14.63164528,17.28942474,18.58457574,19.04667325,22.54942794,19.35591292,24.00600251,12.68930689,24.4552154,14.49056512,14.51365009
"12","Bradi1g00517.v3.1",42.55196659,46.94598991,49.5689462,53.38732095,59.21618042,58.99851728,54.596898,53.85258333,67.28857195,52.62149536,54.72799562,74.76915579,64.70808846,65.13516764,58.42558566,37.1531157,40.42105006,43.70777383
"13","Bradi1g00530.v3.1",19.42848895,22.66358134,20.3503395,22.81877428,23.25460101,22.65301432,30.95700402,27.33272626,29.32192979,23.90936992,29.94236843,24.40382168,23.73571804,18.29828163,26.65667346,31.60366298,28.09135869,18.68423919
"14","Bradi1g00540.v3.1",6.913204656,5.203373266,3.17390616,5.166514931,6.56111957,7.047604454,3.296719908,1.422521069,0.934563499,5.846832818,1.663464913,4.005490489,4.238521078,3.44141994,4.838368812,4.232633434,2.287983966,3.586706631
"15","Bradi1g00560.v3.1",428.9762682,427.1391299,422.5962702,430.9734538,380.9601958,474.0017396,400.9937118,486.8070316,433.987925,432.9788517,439.5706031,389.7935652,406.4741714,510.9249555,536.6937783,380.8429506,392.9612461,419.8949112
"16","Bradi1g00567.v3.1",40.40648928,64.63745901,52.36945164,42.50073592,50.08044431,66.75088218,39.88227011,54.86866981,43.57402315,50.11570987,48.07413597,52.73895811,50.08519074,63.87611157,52.03528723,46.27679222,50.52631258,43.87459739
"17","Bradi1g00580.v3.1",104.1748426,124.6496973,86.34891759,105.9750622,99.08121071,125.6487194,107.8268633,136.8668486,124.6474067,109.6281153,102.6357851,121.2773509,112.7446607,124.4786773,123.3327597,91.51894071,119.9284929,102.9301391
"18","Bradi1g00587.v3.1",5.661676227,1.618827238,3.360606522,3.813380068,3.98650303,2.013601273,4.824468159,3.759519968,3.270972247,1.670523662,2.827890351,3.115381491,1.412840359,2.769923366,3.469019149,3.762340831,3.177755508,1.084353167
"19","Bradi1g00620.v3.1",107.7506381,99.2109836,109.4997625,183.2882678,132.4681736,144.9792916,135.4871475,172.9379185,134.1098621,129.2567684,121.6824584,122.9833932,150.2555722,127.5004119,130.0882181,87.47442431,110.8401121,94.00507844
"20","Bradi1g00678.v3.1",21.39517648,13.18187894,26.23140091,24.17190914,25.91226969,20.53873298,24.443972,27.33272626,26.51823929,29.44297955,23.03898904,21.51096744,24.30085418,27.78317073,38.25050061,24.26709836,22.94339477,27.77612344
"21","Bradi1g00690.v3.1",5.363693268,4.393959647,3.267256341,5.412539452,5.647545959,4.832643054,5.78936179,4.267563207,7.476507994,2.81900868,4.824048246,9.346144474,3.249532827,6.714965736,4.473208902,3.197989706,2.669314627,2.836000592
"23","Bradi1g00710.v3.1",21.03759693,18.84777427,22.40404348,32.90577962,22.75628813,23.35777476,22.91622375,24.08124953,21.72860136,26.10193222,22.7894693,23.06865819,27.55038701,27.95104488,24.46571399,21.35128421,16.46077353,20.68612196
"24","Bradi1g00720.v3.1",4.112164838,5.781525851,3.547306885,3.874886198,4.401763762,5.537403499,4.824468159,5.893301572,6.425124057,3.654270511,4.408182018,5.859884234,10.38437664,8.561581314,8.763837849,11.19296397,4.766633262,5.004706927
"25","Bradi1g00730.v3.1",26.28209701,22.77921185,28.2851049,22.08070072,31.06150277,31.41217985,27.01702169,19.61046902,24.06501011,33.51488097,36.0971886,28.18678492,36.38063926,30.13340874,27.84344317,34.98976972,24.72293785,26.1078878
"26","Bradi1g00740.v3.1",3.992971655,3.815807062,1.960353805,2.644763596,4.817024494,2.718361718,4.342021343,2.336998899,2.453229186,1.357300476,4.657701755,2.818678492,5.22750933,2.350238008,4.108048992,5.079160121,2.605759517,4.754471581
"27","Bradi1g00750.v3.1",95.53333675,106.0331841,101.9383978,113.417304,109.8779898,99.97530318,104.690959,132.1928508,100.8160375,103.1548361,101.2218399,104.5878072,116.3474036,114.2383546,107.3570136,89.73182881,109.060569,99.09319715
"30","Bradi1g00820.v3.1",23.06388105,17.11331652,36.2198703,22.38823137,32.88864999,23.35777476,31.43945083,21.74425063,30.37331373,30.27824138,34.43372369,26.25821543,37.7228376,30.5530941,28.84763292,23.51463019,15.50744688,18.85106276
"31","Bradi1g00830.v3.1",39.27415404,34.68915511,29.59200743,19.92798616,36.12768371,35.74142259,36.90718141,36.5791132,33.76110641,39.98816016,25.53418641,41.83512289,27.62102903,21.82363864,35.51180128,32.82642375,45.69612421,38.36941977
"32","Bradi1g00840.v3.1",5.959659186,5.203373266,5.134259965,5.412539452,6.56111957,4.027202545,7.236702238,5.690084276,4.555997059,4.385124613,6.737032896,4.747247987,3.955953006,5.204098446,4.108048992,3.762340831,6.355511016,6.089060094
"33","Bradi1g00847.v3.1",26.69927315,26.13249685,24.55109765,23.43383558,24.25122676,27.38497731,31.76108204,24.18285817,37.61618085,36.33388965,29.94236843,35.9010629,33.62560055,40.70947978,33.77729171,22.38592794,15.44389177,21.18659266
"34","Bradi1g00860.v3.1",22.22952876,30.75771753,26.32475109,27.98528921,24.41733106,32.01626023,27.09742949,32.00672405,26.98552104,31.53113412,28.36207676,28.85436667,31.57698203,41.54885049,32.22536209,19.84634788,21.8629579,20.35247484
"35","Bradi1g00887.v3.1",135.4034567,136.0971185,152.3474957,105.4830132,124.2460111,160.6853815,157.9209244,144.7923231,174.8801948,148.258975,191.8806777,161.4064316,149.195942,159.0607509,164.5045396,124.9097156,128.5719879,125.951791
"36","Bradi1g00900.v3.1",9.952630841,9.944224464,9.52171848,13.4698425,8.388266791,10.47072662,19.13705703,18.39116525,5.140099246,17.331683,18.88032676,13.87086521,24.08892813,18.63402992,22.54862447,8.841500952,10.93147895,12.84541445
